is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
1,-0.534912,1.485814,0.950928,2.080140,0.416016,0.297163,0.000015,0.000052,0,1,0,0,0.176130,0.000000,0,1
1,0.118896,2.793330,0.416016,1.307516,-0.534912,-0.772624,0.000031,0.000098,0,1,0,0,0.185721,0.000000,0,2
1,-0.772583,0.832056,0.653687,1.961274,0.237671,0.653758,0.000046,0.000029,0,1,0,0,0.194442,0.000000,0,3
1,1.545288,-8.736588,0.772705,7.904531,0.119019,5.943257,0.000031,0.000307,0,1,0,0,0.202414,0.000000,0,4
1,-3.090454,-6.834745,1.545166,1.901842,0.772461,-6.002689,0.000061,0.000240,1,1,0,0,0.209607,0.000000,0,5
1,2.020752,-0.059433,1.069702,6.775313,-0.475464,4.873471,0.000031,0.000002,0,1,0,0,0.518074,0.000000,0,6
1,1.307495,2.912196,0.713257,2.852763,-0.356445,-3.922550,0.000031,0.000102,0,1,0,0,0.308347,0.000000,0,7
1,-1.782959,-1.604679,0.475464,1.307517,-0.237793,-1.545247,0.000031,0.000056,0,1,0,0,0.306071,0.000000,0,8
1,3.684814,4.576308,1.901855,2.971628,1.426392,1.664112,0.000031,0.000161,0,1,0,0,0.303981,0.000000,0,9
1,-3.209351,6.775313,0.475464,2.199005,-1.426392,-0.772623,0.000031,0.000238,0,1,0,0,0.302100,0.000000,0,10
1,-0.178345,4.457443,3.031006,2.317870,2.555542,0.118865,0.000046,0.000157,0,1,0,0,0.300388,0.000000,0,11
1,0.891479,7.310205,0.713135,2.852762,-2.317871,0.534893,0.000015,0.000256,0,1,0,0,0.298833,0.000000,1,0
1,3.625366,6.180988,2.733887,1.129217,2.020752,-1.723545,0.000046,0.000218,0,1,0,0,0.183480,0.000000,0,1
1,-1.366943,1.545246,2.258423,4.635742,-0.475464,3.506525,0.000015,0.000054,0,1,0,0,0.188292,0.000000,0,2
1,2.852783,-3.447088,1.485840,1.901842,-0.772583,-2.733900,0.000000,0.000120,0,1,0,0,0.194357,0.000000,0,3
1,2.139526,-14.085519,0.713257,10.638431,-0.772583,8.736588,0.000061,0.000495,0,1,0,0,0.200933,0.000000,0,4
1,2.912231,-14.323250,0.772705,0.237731,0.059448,-10.400700,0.000015,0.000504,1,1,0,0,0.207749,0.000000,0,5
1,-0.832031,-0.534893,2.080200,13.788357,1.307495,13.550626,0.000031,0.000019,0,1,0,0,0.492944,0.000000,0,6
1,12.480835,5.408364,11.648804,4.873471,9.568604,-8.914886,0.000092,0.000190,0,0,0,0,0.294725,0.000000,0,7
1,5.527222,-3.684819,6.953613,1.723545,-4.695190,-3.149926,0.000046,0.000129,0,0,0,0,0.281359,0.000000,0,8
1,2.793335,9.330914,2.733887,5.646094,-4.219727,3.922550,0.000015,0.000328,0,1,0,0,0.270583,0.000000,0,9
1,11.054443,10.162970,8.261108,0.832056,5.527222,-4.814038,0.000092,0.000358,0,1,0,0,0.271387,0.000000,0,10
1,6.299805,8.023397,4.754639,2.139572,-3.506470,1.307516,0.000092,0.000283,0,1,0,0,0.271508,0.000000,0,11
1,8.082886,8.974319,1.783081,0.950922,-2.971558,-1.188650,0.000000,0.000317,0,0,0,0,0.270607,0.000000,1,0
1,16.106201,0.416027,8.023315,8.558292,6.240234,7.607370,0.000137,0.000014,0,0,0,0,0.167286,0.000000,0,1
1,1.545288,1.188652,14.560913,0.772625,6.537598,-7.785667,0.000031,0.000042,0,0,0,0,0.171809,0.000000,0,2
1,6.656494,-5.824390,5.111206,4.635738,-9.449707,3.863113,0.000000,0.000203,0,0,0,0,0.175900,0.000000,0,3
1,1.307495,-19.672180,5.348999,13.847790,0.237793,9.212051,0.000031,0.000691,0,0,0,0,0.175861,0.000000,0,4
1,-1.901855,-14.798710,0.594360,4.873470,-4.754639,-8.974319,0.000000,0.000520,1,0,0,0,0.179491,0.000000,0,5
1,-0.118896,3.922550,1.782959,10.876160,1.188599,6.002689,0.000031,0.000138,0,0,0,0,0.260954,0.000000,0,6
1,3.625366,-2.436735,3.506470,1.485814,1.723511,-9.390346,0.000046,0.000086,0,0,0,0,0.161928,0.000000,0,7
1,-0.950928,1.366949,2.674438,1.069786,-0.832031,-0.416028,0.000000,0.000048,0,1,0,0,0.166867,0.000000,0,8
1,2.793335,-0.891489,1.842407,0.475461,-0.832031,-0.594326,0.000015,0.000031,0,1,0,0,0.168821,0.000000,0,9
1,-0.653809,3.268791,2.139526,2.377303,0.297119,1.901842,0.000046,0.000115,0,1,0,0,0.172945,0.000000,0,10
1,-0.832031,1.129219,0.178223,2.139572,-1.961304,-0.237731,0.000031,0.000040,0,1,0,0,0.178535,0.000000,0,11
1,0.891479,2.199005,0.059448,1.069786,-0.118774,-1.069786,0.000015,0.000077,0,1,0,0,0.169215,0.000000,0,12
1,0.594360,0.475461,0.297119,1.723545,0.237671,0.653759,0.000031,0.000017,0,1,0,0,0.144477,0.000000,0,13
1,1.961304,1.901843,1.366943,1.426382,1.069824,-0.297163,0.000015,0.000067,0,1,0,0,0.125583,0.000000,0,14
1,1.307495,0.356595,0.653809,1.545248,-0.713135,0.118865,0.000031,0.000012,0,1,0,0,0.113309,0.000000,0,15
1,0.653809,-3.863117,0.653687,3.506522,-0.000122,1.961275,0.000046,0.000136,0,1,0,0,0.107984,0.000000,0,16
1,-3.090454,-4.635740,2.436646,0.772623,1.782959,-2.733899,0.000061,0.000163,1,1,0,0,0.121949,0.000000,0,17
1,-1.010376,-1.485814,2.080078,3.149926,-0.356567,2.377303,0.000015,0.000052,0,1,0,0,0.434148,0.000000,0,18
1,0.534912,8.201694,0.475464,6.715880,-1.604614,3.565954,0.000015,0.000288,0,1,0,0,0.262431,0.000000,0,19
1,0.297119,7.013043,0.237793,1.188651,-0.237671,-5.527229,0.000046,0.000247,0,1,0,0,0.264206,0.000000,0,20
1,2.912231,6.478149,2.615112,0.534894,2.377319,-0.653757,0.000015,0.000227,0,1,0,0,0.265715,0.000000,0,21
1,-1.426392,5.289499,1.485840,1.188650,-1.129272,0.653756,0.000000,0.000187,0,1,0,0,0.267184,0.000000,0,22
1,-0.237671,3.803684,1.188721,1.485815,-0.297119,0.297165,0.000061,0.000134,0,1,0,0,0.268545,0.000000,0,23
1,2.852783,3.803686,2.615112,0.000002,1.426392,-1.485813,0.000000,0.000135,0,1,0,0,0.269686,0.000000,1,0
1,-2.139526,3.506523,0.713257,0.297163,-1.901855,0.297161,0.000061,0.000125,0,1,0,0,0.172671,0.000000,0,1
1,1.366943,-1.366951,0.772583,2.139572,0.059326,1.842409,0.000015,0.000050,0,1,0,0,0.182529,0.000000,0,2
1,2.614990,-0.832054,1.248047,0.534897,0.475464,-1.604675,0.000061,0.000027,0,1,0,0,0.183312,0.000000,0,3
1,-2.496216,-20.147642,0.118774,19.315588,-1.129272,18.780691,0.000031,0.000709,0,1,0,0,0.186692,0.000000,0,4
1,-3.149902,-14.858143,0.653687,5.289499,0.534912,-14.026089,0.000046,0.000523,1,1,0,0,0.191919,0.000000,0,5
1,1.485840,-2.377303,1.664063,12.480840,1.010376,7.191340,0.000015,0.000084,0,1,0,0,0.480428,0.000000,0,6
1,-9.984619,2.020707,8.498779,0.356596,6.834717,-12.124245,0.000122,0.000071,0,1,0,0,0.285427,0.000000,0,7
1,1.069824,1.842410,8.914795,0.178298,0.416016,-0.178298,0.000031,0.000065,0,1,0,0,0.283411,0.000000,0,8
1,2.080200,-1.723544,1.010376,0.118865,-7.904419,-0.059433,0.000046,0.000061,0,1,0,0,0.282162,0.000000,0,9
1,-1.782959,5.943257,0.297241,4.219712,-0.713135,4.100847,0.000031,0.000209,0,1,0,0,0.281011,0.000000,0,10
1,-3.268799,2.852763,1.485840,3.090494,1.188599,-1.129219,0.000015,0.000100,0,1,0,0,0.279564,0.000000,0,11
1,-6.002686,5.467796,2.733887,2.615033,1.248047,-0.475461,0.000046,0.000192,0,1,0,0,0.279442,0.000000,1,0
1,3.803711,3.090493,2.198975,2.377303,-0.534912,-0.237730,0.000000,0.000108,0,1,0,0,0.175779,0.000000,0,1
1,-7.131958,3.565954,3.328247,0.475461,1.129272,-1.901842,0.000000,0.000125,0,1,0,0,0.182519,0.000000,0,2
1,2.080200,-0.297163,5.051758,3.268791,1.723511,2.793330,0.000046,0.000011,0,1,0,0,0.190549,0.000000,0,3
1,2.139526,-12.243110,0.059326,11.945947,-4.992432,8.677155,0.000061,0.000431,0,1,0,0,0.196885,0.000000,0,4
1,0.891479,-10.460133,1.248047,1.782977,1.188721,-10.162970,0.000015,0.000368,1,0,0,0,0.203101,0.000000,0,5
1,-4.338623,0.237730,3.447144,10.222403,2.199097,8.439425,0.000015,0.000008,0,1,0,0,0.246322,0.000000,0,6
1,-3.803711,3.744252,0.534912,3.506522,-2.912231,-6.715881,0.000000,0.000132,0,1,0,0,0.160318,0.000000,0,7
1,-3.565918,-1.901842,0.237793,1.842410,-0.297119,-1.664112,0.000061,0.000067,0,1,0,0,0.161976,0.000000,0,8
1,-0.713135,4.516875,2.852783,2.615033,2.614990,0.772623,0.000061,0.000159,0,1,0,0,0.165542,0.000000,0,9
1,-4.041382,6.062122,3.328247,1.545247,0.475464,-1.069786,0.000061,0.000213,0,1,0,0,0.176642,0.000000,0,10
1,0.416016,2.317870,3.625366,3.744252,0.297119,2.199005,0.000015,0.000081,0,1,0,0,0.186745,0.000000,0,11
1,-3.387695,4.219711,2.971680,1.901841,-0.653687,-1.842411,0.000015,0.000147,0,1,0,0,0.195899,0.000000,1,0
1,-1.129272,4.814037,2.258423,0.594326,-0.713257,-1.307515,0.000046,0.000168,0,1,0,0,0.132909,0.000000,0,1
1,-0.356567,-1.366949,0.772705,3.447088,-1.485718,2.852762,0.000031,0.000048,0,1,0,0,0.146905,0.000000,0,2
1,-2.198975,-1.961275,1.842407,0.594326,1.069702,-2.852762,0.000046,0.000069,0,1,0,0,0.151275,0.000000,0,3
1,0.653809,-11.232756,1.545166,9.271481,-0.297241,8.677155,0.000046,0.000395,0,1,0,0,0.157500,0.000000,0,4
1,-4.398071,-8.439425,3.744263,2.793331,2.199097,-6.478149,0.000031,0.000296,1,1,0,0,0.163601,0.000000,0,5
1,-1.307495,2.436735,3.090576,6.002689,-0.653687,3.209358,0.000031,0.000086,0,1,0,0,0.456545,0.000000,0,6
1,-0.118896,-1.782977,1.188599,0.653758,-1.901978,-5.348931,0.000031,0.000063,0,1,0,0,0.274320,0.000000,0,7
1,1.188599,1.248084,1.069702,0.534893,-0.118896,-0.118865,0.000061,0.000044,0,1,0,0,0.274833,0.000000,0,8
1,-1.723511,-0.832056,0.534912,0.416028,-0.534790,-0.118865,0.000046,0.000029,0,1,0,0,0.275240,0.000000,0,9
1,0.475464,3.447089,1.248047,2.615033,0.713135,2.199005,0.000000,0.000121,0,1,0,0,0.275699,0.000000,0,10
1,1.723511,1.842410,1.248047,1.604679,0.000000,-1.010354,0.000046,0.000065,0,1,0,0,0.268036,0.000000,0,11
