is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
1,15.299988,-1.500000,13.199982,0.299999,2.250000,-0.600000,0.000610,0.000000,0,1,0,0,0.262302,0.000000,0,7
1,-34.049988,-1.200001,18.750000,0.299999,5.550018,0.000000,0.001373,0.000001,0,1,0,0,0.264489,0.000000,0,8
1,-17.850006,0.900000,16.199982,0.300001,-2.550018,0.000002,0.000732,0.000000,0,1,0,0,0.266253,0.000000,0,9
1,-19.049988,3.150000,1.199982,2.250000,-15.000000,1.949999,0.000763,0.000000,0,1,0,0,0.265333,0.000000,0,10
1,-6.000000,3.450001,13.049988,0.300001,11.850006,-1.949999,0.000244,0.000001,0,0,0,0,0.263803,0.000000,0,11
1,10.200012,3.600000,4.200012,0.150000,-8.849976,-0.150002,0.000427,0.000001,0,1,0,0,0.263208,0.000000,1,0
1,-3.921204,6.380354,6.278809,2.780354,2.078796,2.630354,0.021362,0.069645,0,1,0,0,0.257729,0.000000,0,1
1,16.350006,2.549999,12.428802,3.830355,6.149994,1.050001,0.000671,0.000000,0,1,0,0,0.260352,0.000000,0,2
1,4.950012,0.150002,11.399994,2.399998,-1.028809,-1.430357,0.000214,0.000002,0,1,0,0,0.255136,0.000000,0,3
1,-10.799988,2.400002,5.849976,2.250000,-5.550018,-0.149998,0.000427,0.000002,0,1,0,0,0.248301,0.000000,0,4
1,-16.799988,4.350002,6.000000,1.950001,0.150024,-0.299999,0.000671,0.000003,1,1,0,0,0.250512,0.000000,0,5
1,-7.200012,4.350002,9.599976,0.000000,3.599976,-1.950001,0.000305,0.000003,0,1,0,0,0.457523,0.000000,0,6
1,9.000000,0.450001,1.799988,3.900002,-7.799988,3.900002,0.000366,0.000001,0,1,0,0,0.274026,0.000000,0,7
1,-36.600006,4.350002,27.600006,3.900002,25.800018,0.000000,0.001495,0.000003,0,1,0,0,0.265192,0.000000,0,8
1,-27.750000,3.900002,8.850006,0.450001,-18.750000,-3.450001,0.001129,0.000002,0,1,0,0,0.263700,0.000000,0,9
1,-16.200012,2.849998,11.549988,1.050003,2.699982,0.600002,0.000671,0.000001,0,1,0,0,0.258901,0.000000,0,10
1,-9.899994,1.950001,6.300018,0.899998,-5.249969,-0.150005,0.000397,0.000001,0,0,0,0,0.252721,0.000000,0,11
1,5.399994,1.050003,4.500000,0.899998,-1.800018,0.000000,0.000214,0.000003,0,0,0,0,0.255405,0.000000,1,0
1,-15.778625,-1.877728,10.378632,0.827724,5.878632,-0.072273,0.029266,0.072272,0,1,0,0,0.251602,0.000000,0,1
1,16.200012,1.950001,0.421387,0.072273,-9.957245,-0.755451,0.000671,0.000001,0,1,0,0,0.244582,0.000000,0,2
1,12.899994,-0.750000,3.300018,1.200001,2.878632,1.127728,0.000519,0.000000,0,1,0,0,0.232822,0.000000,0,3
1,-2.250000,-1.049999,10.649994,0.299999,7.349976,-0.900002,0.000092,0.000001,0,1,0,0,0.223595,0.000000,0,4
1,-15.299988,-1.349998,13.049988,0.299999,2.399994,0.000000,0.000610,0.000001,1,1,0,0,0.211519,0.000000,0,5
1,-14.250000,-1.650002,1.049988,0.300003,-12.000000,0.000004,0.000580,0.000002,0,1,0,0,0.400779,0.000000,0,6
1,0.000000,-1.950001,14.250000,0.299999,13.200012,-0.000004,0.000000,0.000001,0,1,0,0,0.241536,0.000000,0,7
1,-28.350006,-2.250000,28.350006,0.299999,14.100006,0.000000,0.001160,0.000000,0,1,0,0,0.245517,0.000000,0,8
1,1.200012,-2.549999,27.149994,0.299999,-1.200012,0.000000,0.000061,0.000000,0,1,0,0,0.249258,0.000000,0,9
1,-12.899994,-2.849998,11.699982,0.299999,-15.450012,0.000000,0.000519,0.000001,0,1,0,0,0.251556,0.000000,0,10
1,-23.400009,-0.299999,10.500015,2.549999,-1.199966,2.250000,0.000961,0.000001,0,0,0,0,0.249276,0.000000,0,11
1,-15.449997,-1.799999,7.950012,1.500000,-2.550003,-1.049999,0.000626,0.000000,0,1,0,0,0.252150,0.000000,1,0
1,0.189758,1.386654,15.260239,0.413345,7.310226,-1.086655,0.039764,0.036654,0,1,0,0,0.242513,0.000000,0,1
1,10.949997,-2.250000,10.760239,0.863346,-4.500000,0.450001,0.000443,0.000000,0,1,0,0,0.242087,0.000000,0,2
1,16.800003,-2.250000,5.850006,0.000000,-4.910233,-0.863346,0.000687,0.000000,0,0,0,0,0.214583,0.000000,0,3
1,7.049988,-3.750000,9.750015,1.500000,3.900009,1.500000,0.000275,0.000001,0,0,0,0,0.177394,0.000000,0,4
1,-9.000000,-4.350002,1.950012,0.600002,-7.800003,-0.899998,0.000366,0.000003,1,0,0,0,0.146789,0.000000,0,5
1,-16.949997,-3.000000,7.949997,1.350002,5.999985,0.750000,0.000687,0.000000,0,0,0,0,0.064527,0.000000,0,6
1,-9.149994,-4.350000,7.800003,1.350000,-0.149994,-0.000002,0.000366,0.000001,0,1,0,0,0.031275,0.000000,0,7
1,-26.100006,-2.700001,16.950012,1.650000,9.150009,0.299999,0.001068,0.000001,0,1,0,0,0.041028,0.000000,0,8
