is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
1,-0.150024,0.000000,0.000000,0.000000,-310.214233,-5.249981,0.000025,0.000000,1,0,0,0,0.000000,0.000000,0,28
1,-0.150024,0.000000,0.000000,0.000000,-310.214233,-5.249981,0.000025,0.000000,1,0,0,0,0.000000,0.000000,0,29
1,-4.050049,0.000000,3.900024,0.000000,3.900024,0.000000,0.000059,0.000000,1,0,0,0,0.000000,0.000000,0,30
1,-28.349487,2.099995,24.299438,2.099995,20.399414,2.099995,0.000441,0.000040,1,0,0,0,0.000000,0.000000,0,31
1,-56.550293,1.949995,28.200806,0.150000,3.901367,-1.949995,0.000437,0.000037,1,0,0,0,0.000000,0.000000,0,32
1,-35.700195,1.049997,20.850098,0.899998,-7.350708,0.749998,0.000286,0.000020,1,0,0,0,0.000000,0.000000,0,33
1,-14.849609,2.249994,20.850586,1.199997,0.000488,0.299999,0.000353,0.000043,1,0,0,0,0.000000,0.000000,0,34
1,39.900024,-15.150001,25.050415,12.900006,4.199829,11.700009,0.000126,0.000328,1,1,0,0,0.000000,0.000000,0,35
1,0.300049,-6.000000,39.599976,9.150001,14.549561,-3.750006,0.000050,0.000130,1,1,0,0,0.127400,0.000000,0,36
1,0.300049,-3.150000,0.000000,2.850000,-39.599976,-6.300001,0.000050,0.000068,0,1,0,0,0.396960,0.000000,0,37
1,0.449951,0.600000,0.149902,2.550000,0.149902,-0.300000,0.000048,0.000013,0,1,0,0,0.242219,0.000000,0,38
1,0.000000,2.850000,0.449951,2.250000,0.300049,-0.300000,0.000000,0.000062,0,0,0,0,0.245899,0.000000,0,39
1,0.900024,3.000000,0.750000,1.049999,0.599976,0.750001,0.000027,0.000065,0,0,0,0,0.178492,0.000000,1,0
1,1.050049,2.250000,0.150024,0.750000,-0.599976,-0.299999,0.000051,0.000049,0,0,0,0,0.166784,0.000000,0,1
1,2.849976,1.049999,1.799927,1.200001,1.649902,0.450001,0.000017,0.000022,0,1,0,0,0.159237,0.000000,0,2
1,3.750000,-0.450001,0.900024,0.599998,-0.899902,-0.600002,0.000010,0.000010,0,1,0,0,0.164259,0.000000,0,3
1,1.050049,-1.650000,2.699951,1.199999,1.799927,0.600000,0.000051,0.000035,1,1,0,0,0.174938,0.000000,0,4
1,-0.449951,-1.950001,0.600098,0.300001,-2.099854,-0.899998,0.000048,0.000043,0,1,0,0,0.461024,0.000000,0,5
1,0.300049,-0.900000,0.149902,1.050001,-0.450195,0.750000,0.000050,0.000019,0,1,0,0,0.276049,0.000000,0,6
1,2.400024,0.299999,2.099976,0.600000,1.950073,-0.450001,0.000031,0.000006,0,1,0,0,0.276140,0.000000,0,7
1,6.150024,1.950001,3.750000,1.650002,1.650024,1.050001,0.000040,0.000043,0,1,0,0,0.276963,0.000000,0,8
1,9.299988,1.950001,3.149963,0.000000,-0.600037,-1.650002,0.000011,0.000043,0,1,0,0,0.278035,0.000000,0,9
1,8.400024,2.549999,0.899963,0.599998,-2.250000,0.599998,0.000046,0.000054,0,0,0,0,0.278721,0.000000,0,10
1,4.049988,5.550001,4.350037,3.000002,3.450073,2.400003,0.000002,0.000121,0,1,0,0,0.253636,0.000000,1,0
1,5.700012,4.650002,1.650024,0.900000,-2.700012,-2.100002,0.000027,0.000102,0,1,0,0,0.249914,0.000000,0,1
1,-0.750000,-0.299999,4.950012,4.350002,3.299988,3.450003,0.000002,0.000006,0,1,0,0,0.252543,0.000000,0,2
1,-0.750000,-0.450001,0.000000,0.150002,-4.950012,-4.200001,0.000002,0.000010,0,1,0,0,0.255177,0.000000,0,3
1,2.549988,-1.500000,1.799988,1.049999,1.799988,0.899998,0.000006,0.000032,0,1,0,0,0.257455,0.000000,0,4
1,6.750000,-1.799999,4.200012,0.299999,2.400024,-0.750000,0.000017,0.000038,1,1,0,0,0.258883,0.000000,0,5
1,10.200012,-1.500000,3.450012,0.299999,-0.750000,0.000000,0.000038,0.000032,0,1,0,0,0.480122,0.000000,0,6
