is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
1,-10.500488,1.199997,2.852783,0.150000,-0.447510,-2.099995,0.055908,0.000004,0,1,0,0,0.031485,0.000000,1,0
1,-5.399658,-3.600000,5.100830,2.400003,2.248047,2.250004,0.047119,0.000002,0,1,0,0,0.010925,0.000000,0,1
1,3.449951,0.000000,1.949707,3.600000,-3.151123,1.199997,0.030273,0.000000,1,1,0,0,0.023847,0.000000,0,2
1,1.050049,0.600000,2.399902,0.600000,0.450195,-3.000000,0.009277,0.000000,0,1,0,0,0.327664,0.000000,0,3
1,-1.350098,0.450001,0.300049,0.150000,-2.099854,-0.450001,0.011963,0.000000,0,1,0,0,0.202127,0.000000,0,4
1,-3.300049,-0.150000,1.949951,0.300001,1.649902,0.150002,0.029053,0.000000,0,1,0,0,0.207192,0.000000,0,5
1,-1.199951,-0.900000,2.100098,0.750000,0.150146,0.449999,0.010498,0.000001,0,1,0,0,0.212201,0.000000,0,6
1,2.850098,-1.049999,1.650146,0.150000,-0.449951,-0.600000,0.025146,0.000001,0,1,0,0,0.217694,0.000000,0,7
1,6.300049,-0.900000,3.449951,0.150000,1.799805,0.000000,0.055420,0.000001,0,1,0,0,0.223639,0.000000,0,8
1,6.449951,-0.450001,0.149902,0.449999,-3.300049,0.299999,0.056641,0.000000,0,1,0,0,0.229463,0.000000,0,9
1,4.500000,0.150000,1.949951,0.300001,1.800049,-0.149998,0.039551,0.000000,0,0,0,0,0.234806,0.000000,0,10
1,1.050049,0.299999,3.449951,0.150000,1.500000,-0.150002,0.009277,0.000001,0,1,0,0,0.213674,0.000000,1,0
1,2.850098,-0.600000,1.800049,0.300001,-1.649902,0.150002,0.025146,0.000000,0,1,0,0,0.214375,0.000000,0,1
1,-2.699951,0.750000,0.150146,0.150000,-1.649902,-0.150002,0.023682,0.000000,0,1,0,0,0.221070,0.000000,0,2
1,-1.350098,0.000000,1.349854,0.750000,1.199707,0.600000,0.011963,0.000000,1,1,0,0,0.227174,0.000000,0,3
1,3.300049,-0.750000,1.949951,0.750000,0.600098,0.000000,0.029053,0.000000,0,1,0,0,0.494805,0.000000,0,4
1,9.149902,-0.750000,5.849854,0.000000,3.899902,-0.750000,0.068359,0.000000,0,1,0,0,0.296036,0.000000,0,5
1,9.449951,-0.750000,0.300049,0.000000,-5.549805,0.000000,0.065674,0.000000,0,1,0,0,0.295334,0.000000,0,6
1,8.100098,0.600000,1.349854,0.150000,1.049805,0.150000,0.071289,0.000000,0,1,0,0,0.294255,0.000000,0,7
1,5.250000,1.200001,2.850098,0.600000,1.500244,0.450001,0.046143,0.000000,0,1,0,0,0.292852,0.000000,0,8
1,3.449951,1.350000,1.800049,0.150000,-1.050049,-0.450001,0.030273,0.000000,0,1,0,0,0.291328,0.000000,0,9
1,3.750000,2.250000,0.300049,0.900000,-1.500000,0.750000,0.032959,0.000001,0,0,0,0,0.289647,0.000000,0,10
1,8.699951,1.500000,4.949951,0.750000,4.649902,-0.150000,0.072266,0.000001,0,1,0,0,0.263579,0.000000,1,0
1,4.800049,0.900000,3.899902,0.600000,-1.050049,-0.150000,0.042236,0.000001,0,1,0,0,0.257048,0.000000,0,1
1,1.800049,-0.450001,3.000000,0.449999,-0.899902,-0.150002,0.015869,0.000000,0,1,0,0,0.256469,0.000000,0,2
1,4.500000,-1.049999,2.699951,0.599998,-0.300049,0.150000,0.039551,0.000001,0,1,0,0,0.255619,0.000000,0,3
1,4.800049,-2.400000,0.300049,1.350000,-2.399902,0.750002,0.042236,0.000002,1,1,0,0,0.254470,0.000000,0,4
1,2.250000,-1.200001,2.550049,1.199999,2.250000,-0.150002,0.019775,0.000000,0,1,0,0,0.464901,0.000000,0,5
1,2.100098,-0.299999,0.149902,0.900002,-2.400146,-0.299997,0.018555,0.000001,0,1,0,0,0.279836,0.000000,0,6
1,1.500000,0.750000,0.600098,0.450001,0.450195,-0.450001,0.013184,0.000000,0,1,0,0,0.280638,0.000000,0,7
1,4.199951,1.650000,2.699951,0.900000,2.099854,0.449999,0.036865,0.000001,0,1,0,0,0.281256,0.000000,0,8
1,7.050049,1.200001,2.850098,0.449999,0.150146,-0.450001,0.062012,0.000000,0,1,0,0,0.281393,0.000000,0,9
1,8.100098,0.450001,1.050049,0.750000,-1.800049,0.300001,0.071289,0.000000,0,0,0,0,0.280731,0.000000,0,10
1,3.750000,2.400000,4.350098,1.949999,3.300049,1.199999,0.032959,0.000002,0,1,0,0,0.255465,0.000000,1,0
1,4.050049,1.350000,0.300049,1.049999,-4.050049,-0.900000,0.035645,0.000000,0,1,0,0,0.250687,0.000000,0,1
