is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
1,0.449997,1.200001,2.850006,2.699999,2.250000,1.799997,0.000008,0.000032,0,1,0,0,0.107457,0.000000,0,2
1,-0.449997,-4.650000,0.000000,3.449999,-2.850006,0.750000,0.000008,0.000122,0,1,0,0,0.099588,0.000000,0,3
1,-1.050003,-9.150000,0.600006,4.500000,0.600006,1.050001,0.000008,0.000241,0,1,0,0,0.098705,0.000000,0,4
1,-0.449997,-7.950001,0.600006,1.199999,0.000000,-3.300001,0.000008,0.000211,1,1,0,0,0.103527,0.000000,0,5
1,-0.449997,-3.600000,0.000000,4.350000,-0.600006,3.150002,0.000008,0.000095,0,1,0,0,0.393583,0.000000,0,6
1,-2.699997,-3.300000,2.250000,0.300000,2.250000,-4.050000,0.000031,0.000087,0,1,0,0,0.236430,0.000000,0,7
1,-0.449997,0.450000,2.250000,2.850000,0.000000,2.550000,0.000008,0.000012,0,1,0,0,0.237441,0.000000,0,8
1,5.849998,7.500000,5.400002,7.050000,3.150002,4.200000,0.000061,0.000198,0,1,0,0,0.239958,0.000000,0,9
1,3.750000,7.950001,2.099998,0.450001,-3.300003,-6.599999,0.000038,0.000211,0,0,0,0,0.242015,0.000000,0,10
1,-3.150002,4.049999,0.599998,3.900002,-1.500000,3.450001,0.000031,0.000106,0,0,0,0,0.244651,0.000000,0,11
1,-0.449997,5.700001,2.700005,1.650002,2.100006,-2.250000,0.000008,0.000151,0,0,0,0,0.240206,0.000000,1,0
1,-18.150002,-3.600000,17.700005,2.100000,15.000000,0.449999,0.000183,0.000095,0,1,0,0,0.233041,0.000000,0,1
1,-6.599998,0.150000,11.550003,3.450001,-6.150002,1.350000,0.000069,0.000004,0,1,0,0,0.231632,0.000000,0,2
1,16.500000,9.750002,9.900002,9.600002,-1.650002,6.150002,0.000168,0.000259,0,1,0,0,0.233287,0.000000,0,3
1,9.300003,0.599998,7.199997,9.150003,-2.700005,-0.449999,0.000092,0.000014,0,1,0,0,0.237010,0.000000,0,4
1,20.550003,0.599998,11.250000,0.000000,4.050003,-9.150003,0.000206,0.000014,1,0,0,0,0.241636,0.000000,0,5
1,11.849998,-6.900000,8.700005,6.300001,-2.549995,6.300001,0.000122,0.000182,0,0,0,0,0.308649,0.000000,0,6
1,-6.000000,-7.650000,5.849998,0.750000,-2.850006,-5.550001,0.000061,0.000201,0,1,0,0,0.186214,0.000000,0,7
1,-1.050003,-0.450001,4.949997,7.199999,-0.900002,6.449999,0.000008,0.000013,0,0,0,0,0.188396,0.000000,0,8
1,4.500000,4.650000,3.449997,4.199999,-1.500000,-3.000000,0.000046,0.000122,0,0,0,0,0.195183,0.000000,0,9
1,4.050003,3.150000,0.449997,1.500000,-3.000000,-2.699999,0.000038,0.000083,0,0,0,0,0.196547,0.000000,0,10
1,-1.050003,1.350000,3.000000,1.799999,2.550003,0.299999,0.000008,0.000036,0,0,0,0,0.197829,0.000000,0,11
1,0.449997,1.500000,0.600006,0.150000,-2.399994,-1.650000,0.000008,0.000040,0,0,0,0,0.199145,0.000000,1,0
1,-25.349998,-12.600000,24.900002,11.100000,24.299995,10.950001,0.000259,0.000333,0,1,0,0,0.193757,0.000000,0,1
1,-9.150002,-6.600000,16.199997,6.000000,-8.700005,-5.100000,0.000092,0.000175,0,1,0,0,0.191982,0.000000,0,2
1,24.900002,6.000000,15.750000,0.600000,-0.449997,-5.400000,0.000252,0.000158,0,1,0,0,0.188718,0.000000,0,3
1,12.599998,-3.450000,12.300003,2.550000,-3.449997,1.950000,0.000130,0.000091,0,0,0,0,0.196237,0.000000,0,4
1,34.350006,5.250001,21.750008,1.800001,9.450005,-0.749999,0.000343,0.000139,1,0,0,0,0.203861,0.000000,0,5
1,17.699997,2.400000,16.650009,2.850001,-5.099998,1.050000,0.000183,0.000063,0,0,0,0,0.277761,0.000000,0,6
1,-17.100006,-12.450001,0.599991,10.050001,-16.050018,7.200000,0.000168,0.000329,0,1,0,0,0.171254,0.000000,0,7
1,-6.449997,-5.550000,10.650009,6.900001,10.050018,-3.150001,0.000069,0.000147,0,0,0,0,0.172130,0.000000,0,8
1,18.449997,9.000000,12.000000,3.450000,1.349991,-3.450001,0.000191,0.000237,0,0,0,0,0.181957,0.000000,0,9
1,9.000000,6.000001,9.449997,2.999999,-2.550003,-0.450001,0.000092,0.000159,0,0,0,0,0.184585,0.000000,0,10
1,-15.449997,-6.450000,6.449997,0.449999,-3.000000,-2.550000,0.000160,0.000170,0,0,0,0,0.183119,0.000000,0,11
1,-5.399994,-1.200000,10.050003,5.250000,3.600006,4.800001,0.000061,0.000031,0,0,0,0,0.185873,0.000000,0,12
1,-14.699997,-6.450000,9.300003,5.250000,-0.750000,0.000000,0.000153,0.000170,0,0,0,0,0.187066,0.000000,0,13
1,-6.000000,-3.750000,8.699997,2.700000,-0.600006,-2.550000,0.000061,0.000099,0,0,0,0,0.189504,0.000000,0,14
1,11.550003,3.300000,5.550003,0.450000,-3.149994,-2.250000,0.000114,0.000087,0,0,0,0,0.179721,0.000000,0,15
1,6.449997,-0.600000,5.100006,2.700000,-0.449997,2.250000,0.000069,0.000016,0,0,0,0,0.170707,0.000000,0,16
1,12.899994,1.800000,6.449997,1.200000,1.349991,-1.500000,0.000137,0.000048,1,0,0,0,0.160447,0.000000,0,17
1,7.350006,0.750000,5.549988,1.050000,-0.900009,-0.150000,0.000069,0.000020,0,0,0,0,0.190933,0.000000,0,18
1,-4.350006,-0.900000,3.000000,0.150000,-2.549988,-0.900000,0.000038,0.000024,0,0,0,0,0.119074,0.000000,0,19
1,-1.050003,3.150000,3.300003,2.250000,0.300003,2.100000,0.000008,0.000083,0,0,0,0,0.128177,0.000000,0,20
1,16.800003,12.600001,15.750000,9.450001,12.449997,7.200001,0.000168,0.000334,0,0,0,0,0.136396,0.000000,0,21
1,8.550003,7.800001,8.250000,4.800000,-7.500000,-4.650001,0.000084,0.000207,0,0,0,0,0.141704,0.000000,0,22
1,-12.149994,-3.299999,3.599991,4.500002,-4.650009,-0.299998,0.000130,0.000086,0,0,0,0,0.148763,0.000000,0,23
1,-4.350006,-0.450001,7.799988,2.849998,4.199997,-1.650003,0.000038,0.000013,0,0,0,0,0.155351,0.000000,1,0
1,-12.899994,-6.000000,8.549988,5.549999,0.750000,2.700001,0.000137,0.000158,0,1,0,0,0.161086,0.000000,0,1
1,-4.649994,-2.850000,8.250000,3.150000,-0.299988,-2.400000,0.000053,0.000076,0,1,0,0,0.166087,0.000000,0,2
1,11.550003,1.350000,6.900009,1.500000,-1.349991,-1.650000,0.000114,0.000036,0,1,0,0,0.177139,0.000000,0,3
1,7.050003,-4.950000,4.500000,3.599999,-2.400009,2.099999,0.000069,0.000130,0,0,0,0,0.187047,0.000000,0,4
1,30.149994,5.400001,23.099991,0.450001,18.599991,-3.149999,0.000313,0.000143,1,0,0,0,0.195410,0.000000,0,5
1,15.750000,2.400000,14.399994,3.000001,-8.699997,2.550000,0.000160,0.000063,0,0,0,0,0.275241,0.000000,0,6
1,-16.500000,-11.700001,0.750000,9.300001,-13.649994,6.300000,0.000168,0.000309,0,1,0,0,0.169534,0.000000,0,7
1,-6.000000,-5.250000,10.500000,6.450001,9.750000,-2.850000,0.000061,0.000139,0,1,0,0,0.160838,0.000000,0,8
1,-19.649994,-9.450001,13.649994,4.200001,3.149994,-2.250000,0.000206,0.000250,0,1,0,0,0.147548,0.000000,0,9
