is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
1,0.000000,1.200012,0.149902,3.000031,0.000000,2.700027,0.000000,0.000012,0,0,0,0,0.149325,0.000000,0,1
1,0.000000,0.150002,0.000000,1.050011,-0.149902,-1.950020,0.000000,0.000002,0,0,0,0,0.135886,0.000000,0,2
1,-0.749512,-0.300003,0.749512,0.150002,0.749512,-0.900009,0.000114,0.000003,0,0,0,0,0.090880,0.000000,0,3
1,-4.497070,-0.900009,3.747559,0.600006,2.998047,0.450005,0.000687,0.000009,0,0,0,0,0.061800,0.000000,0,4
1,-7.045898,-0.300003,2.548828,0.600006,-1.198730,0.000000,0.001564,0.000003,1,0,0,0,0.054002,0.000000,0,5
1,-6.145996,-0.150002,0.899902,0.150002,-1.648926,-0.450005,0.000938,0.000002,0,0,0,0,0.143683,0.000000,0,6
1,-3.897461,0.000000,2.248535,0.150002,1.348633,0.000000,0.000595,0.000000,0,0,0,0,0.097005,0.000000,0,7
1,-4.946777,0.150002,1.049316,0.150002,-1.199219,0.000000,0.000755,0.000002,0,1,0,0,0.106722,0.000000,0,8
1,-5.246582,0.300003,0.299805,0.150002,-0.749512,0.000000,0.000801,0.000003,0,1,0,0,0.106203,0.000000,0,9
1,-1.499023,0.000000,3.747559,0.300003,3.447754,0.150002,0.000229,0.000000,0,1,0,0,0.112081,0.000000,0,10
1,-1.499023,0.000000,3.747559,0.300003,3.447754,0.150002,0.000229,0.000000,0,0,0,0,0.120937,0.000000,0,11
1,-0.149902,-0.600006,1.349121,0.600006,-2.398438,0.300003,0.000023,0.000006,0,1,0,0,0.135419,0.000000,1,0
1,0.000000,-1.950020,0.149902,1.350014,-1.199219,0.750008,0.000000,0.000020,0,1,0,0,0.139126,0.000000,0,1
1,-0.149902,-1.650017,0.149902,0.300003,0.000000,-1.050011,0.000023,0.000017,0,1,0,0,0.148665,0.000000,0,2
1,-0.149902,-1.200012,0.000000,0.450005,-0.149902,0.150002,0.000023,0.000012,0,1,0,0,0.158462,0.000000,0,3
