is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,-3.506287,-5.111202,1.901855,4.041413,-4.635925,1.307516,0.000259,0.000181,0,1,0,0,0.485596,0.000000,0,6
0,-1.842255,0.059433,1.664032,5.051770,-0.237823,1.010356,0.000168,0.000002,0,1,0,0,0.290591,0.000000,0,7
0,-5.111023,1.723544,3.268768,1.664112,1.604736,-3.387658,0.000214,0.000060,0,1,0,0,0.289892,0.000000,0,8
0,-7.012970,2.139571,1.901947,0.416026,-1.366821,-1.248085,0.000122,0.000073,0,1,0,0,0.279712,0.000000,0,9
0,-3.684540,1.188650,3.328430,0.950921,1.426483,0.534894,0.000305,0.000041,0,1,0,0,0.270702,0.000000,0,10
0,-2.614807,1.129221,1.069733,0.059429,-2.258698,-0.891492,0.000244,0.000042,0,1,0,0,0.263150,0.000000,0,11
0,-3.684601,1.248092,1.069794,0.118870,0.000061,0.059442,0.000244,0.000052,0,1,0,0,0.256557,0.000000,0,12
0,-4.398041,1.426389,0.713440,0.178297,-0.356354,0.059427,0.000000,0.000057,0,1,0,0,0.250620,0.000000,0,13
0,-9.212112,2.436745,4.814072,1.010356,4.100632,0.832059,0.000000,0.000095,0,1,0,0,0.243679,0.000000,1,0
0,-20.563797,4.398017,11.351685,1.961272,6.537613,0.950916,0.000015,0.000161,0,1,0,0,0.143567,0.000000,0,1
0,-26.388123,-1.961279,5.824326,2.436738,-5.527359,0.475466,0.000122,0.000073,0,1,0,0,0.134233,0.000000,0,2
0,-12.599762,-7.963963,13.788361,6.002684,7.964035,3.565946,0.000031,0.000278,1,1,0,0,0.141558,0.000000,0,3
0,-4.695206,-12.718572,7.904556,4.754609,-5.883804,-1.248075,0.000000,0.000449,0,1,0,0,0.432252,0.000000,0,4
0,1.248093,-7.429072,3.447113,5.289499,-4.457443,0.534890,0.000000,0.000262,0,1,0,0,0.261128,0.000000,0,5
0,3.209381,-0.356595,1.961288,7.072477,-1.485825,1.782978,0.000000,0.000012,0,1,0,0,0.262982,0.000000,0,6
0,4.398041,3.447094,1.188660,3.090499,-0.772629,-3.981978,0.000000,0.000126,0,1,0,0,0.264790,0.000000,0,7
0,5.824432,5.527229,1.426392,2.080135,0.237732,-1.010364,0.000000,0.000195,0,1,0,0,0.266354,0.000000,0,8
0,7.250824,7.013044,1.426392,1.485815,0.000000,-0.594320,0.000000,0.000248,0,1,0,0,0.257574,0.000000,0,9
0,10.697937,7.369641,3.447113,0.356597,2.020721,-1.129218,0.000000,0.000262,0,1,0,0,0.247452,0.000000,0,10
0,15.928040,8.261127,5.230103,0.891486,1.782990,0.534889,0.000000,0.000291,0,1,0,0,0.234050,0.000000,1,0
0,22.822235,7.547943,6.894196,0.713184,1.664093,-0.178302,0.000031,0.000272,0,1,0,0,0.130472,0.000000,0,1
0,24.248505,0.118864,1.426270,7.429079,-5.467926,6.715895,0.000153,0.000003,0,1,0,0,0.115865,0.000000,0,2
0,17.354309,-10.995028,6.894196,10.876164,5.467926,3.447085,0.000122,0.000390,0,1,0,0,0.119426,0.000000,0,3
0,8.023285,-19.969343,9.331024,8.974315,2.436829,-1.901850,0.000168,0.000702,1,1,0,0,0.134012,0.000000,0,4
0,-4.932678,-15.690197,3.090607,4.279146,-6.240417,-4.695168,0.000259,0.000550,0,1,0,0,0.412595,0.000000,0,5
0,-7.250671,-2.139578,2.317993,13.550619,-0.772614,9.271473,0.000153,0.000081,0,1,0,0,0.249050,0.000000,0,6
0,-5.051575,1.248093,2.199097,0.891485,-0.118896,-12.659134,0.000229,0.000053,0,1,0,0,0.249948,0.000000,0,7
0,-3.446869,1.782990,1.604706,0.534897,-0.594391,-0.356588,0.000244,0.000075,0,1,0,0,0.250634,0.000000,0,8
0,-2.139282,1.485825,1.307587,0.297165,-0.297119,-0.237732,0.000305,0.000063,0,1,0,0,0.251390,0.000000,0,9
0,-2.793091,3.268803,0.653809,1.782978,-0.653778,1.485813,0.000259,0.000126,0,1,0,0,0.252070,0.000000,0,10
0,-6.715668,8.677155,3.922577,5.408352,3.268768,3.625374,0.000259,0.000304,0,1,0,0,0.251877,0.000000,0,11
0,-10.875977,14.382685,4.160309,5.705530,0.237732,0.297178,0.000259,0.000509,0,1,0,0,0.249830,0.000000,1,0
0,-20.504318,15.987366,9.628342,1.604681,5.468033,-4.100849,0.000061,0.000567,0,1,0,0,0.152421,0.000000,0,1
0,-37.620789,7.310207,17.116470,8.677158,7.488129,7.072477,0.000290,0.000258,0,1,0,0,0.143046,0.000000,0,2
0,-27.220184,-7.845097,10.400604,0.534889,-6.715866,-8.142269,0.000122,0.000273,0,1,0,0,0.127140,0.000000,0,3
0,-7.666855,-14.679848,19.553329,6.834751,9.152725,6.299862,0.000000,0.000519,1,1,0,0,0.114740,0.000000,0,4
0,3.268814,-12.124247,4.398041,2.555601,-15.155289,-4.279150,0.000000,0.000429,0,1,0,0,0.376009,0.000000,0,5
0,9.330978,-2.912196,6.062164,9.212050,1.664124,6.656449,0.000000,0.000102,0,1,0,0,0.230136,0.000000,0,6
0,8.855515,2.139571,0.475464,0.772625,-5.586700,-8.439425,0.000000,0.000074,0,1,0,0,0.221260,0.000000,0,7
0,10.163040,5.646095,1.307526,3.506524,0.832062,2.733899,0.000000,0.000200,0,1,0,0,0.211637,0.000000,0,8
0,14.977112,8.261127,4.814072,2.615032,3.506546,-0.891492,0.000000,0.000291,0,1,0,0,0.199454,0.000000,0,9
0,18.840256,8.201691,3.863144,0.059437,-0.950928,-2.555595,0.000000,0.000284,0,1,0,0,0.183405,0.000000,0,10
0,19.137405,6.062128,0.297150,2.139563,-3.565994,2.080126,0.000015,0.000219,0,1,0,0,0.163992,0.000000,1,0
0,17.532623,4.041420,1.604782,2.020708,1.307632,-0.118855,0.000107,0.000147,0,1,0,0,0.084513,0.000000,0,1
0,17.235382,0.416027,0.297241,3.625393,-1.307541,1.604685,0.000183,0.000014,0,1,0,0,0.072346,0.000000,0,2
0,12.658997,-8.261122,4.576385,7.845095,4.279144,4.219702,0.000229,0.000285,0,1,0,0,0.065238,0.000000,0,3
0,3.328033,-14.917576,9.330963,6.656454,4.754578,-1.188641,0.000214,0.000525,0,1,0,0,0.080943,0.000000,0,4
0,-5.824158,-12.956301,2.496124,1.961275,-6.834839,-4.695179,0.000275,0.000456,1,1,0,0,0.098216,0.000000,0,5
0,-9.390167,-2.555602,3.566010,10.400700,1.069885,8.439425,0.000244,0.000091,0,1,0,0,0.395394,0.000000,0,6
0,-5.527069,2.258441,3.863098,0.297160,0.297089,-10.103539,0.000198,0.000083,0,1,0,0,0.238196,0.000000,0,7
0,-2.495911,2.199003,3.031158,0.059439,-0.831940,-0.237721,0.000275,0.000075,0,1,0,0,0.239260,0.000000,0,8
0,-0.653595,1.069785,1.842316,1.129218,-1.188843,1.069779,0.000168,0.000036,0,1,0,0,0.240773,0.000000,0,9
0,-0.059418,0.000000,0.594177,1.069785,-1.248138,-0.059433,0.000015,0.000000,0,1,0,0,0.242709,0.000000,0,10
0,-0.059418,0.000000,0.594177,1.069785,-1.248138,-0.059433,0.000015,0.000000,0,1,0,0,0.244745,0.000000,0,11
