is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,1.442871,21.943665,0.120239,6.613171,-0.180359,3.907787,0.002518,0.000609,0,0,0,0,0.166033,0.000000,0,1
0,-0.541077,22.484741,0.901794,0.541077,0.781555,-6.072094,0.000944,0.000624,0,0,0,0,0.151090,0.000000,0,2
0,0.120239,7.635189,0.420837,14.849552,-0.480957,14.308475,0.000210,0.000208,0,0,0,0,0.137492,0.000000,0,3
0,-0.060120,-0.060120,0.060120,7.575069,-0.360718,-7.274483,0.000105,0.000002,0,0,0,0,0.125117,0.000000,0,4
0,-0.661316,-15.390625,0.601196,15.330505,0.541077,7.755436,0.001154,0.000427,1,0,0,0,0.113857,0.000000,0,5
0,1.743469,-23.987732,1.082153,8.597107,0.480957,-6.733398,0.003042,0.000666,0,0,0,0,0.103610,0.000000,0,6
0,0.901794,-18.757324,0.841675,5.230408,-0.240479,-3.366699,0.001574,0.000521,0,1,0,0,0.056571,0.000000,0,7
0,-0.300598,-10.701279,0.601196,8.056046,-0.240479,2.825638,0.000525,0.000282,0,1,0,0,0.076836,0.000000,0,8
0,-0.420837,-6.252438,0.120239,4.448841,-0.480957,-3.607205,0.000734,0.000170,0,1,0,0,0.095351,0.000000,0,9
0,-0.781555,-2.705383,0.360718,3.547055,0.240479,-0.901786,0.001364,0.000075,0,0,0,0,0.112233,0.000000,0,10
0,-0.060120,-0.480957,0.721436,2.224426,0.360718,-1.322628,0.000105,0.000013,0,0,0,0,0.102132,0.000000,0,11
0,0.000000,0.300598,0.060120,0.180359,-0.661316,-2.044067,0.000000,0.000008,0,0,0,0,0.092940,0.000000,0,12
0,0.961914,12.324510,0.961914,12.023911,0.901794,11.843553,0.001678,0.000328,0,0,0,0,0.084576,0.000000,1,0
0,1.863708,24.769264,0.901794,12.444755,-0.060120,0.420843,0.003252,0.000665,0,0,0,0,0.076964,0.000000,0,1
0,1.563110,23.747252,0.300598,1.022013,-0.601196,-11.422742,0.002728,0.000657,0,0,0,0,0.070037,0.000000,0,2
0,0.240479,6.312561,1.322632,17.434690,1.022034,16.412678,0.000420,0.000175,0,0,0,0,0.063734,0.000000,0,3
0,-1.442871,-11.122131,1.202393,4.809570,-0.120239,-12.625120,0.002518,0.000309,1,0,0,0,0.057998,0.000000,0,4
0,-1.322632,-17.795410,0.120239,6.673279,-1.082153,1.863708,0.002308,0.000494,0,1,0,0,0.052778,0.000000,0,5
0,-0.841675,-17.134094,0.480957,0.661316,0.360718,-6.011963,0.001469,0.000476,0,1,0,0,0.054281,0.000000,0,6
0,-0.961914,-10.701283,0.120239,6.432812,-0.360718,5.771496,0.001678,0.000286,0,1,0,0,0.074875,0.000000,0,7
0,-1.322632,-7.154231,0.360718,3.547051,0.240479,-2.885760,0.002308,0.000194,0,1,0,0,0.093614,0.000000,0,8
0,-0.480957,-4.809570,0.841675,2.344661,0.480957,-1.202390,0.000839,0.000133,0,1,0,0,0.110664,0.000000,0,9
0,0.000000,-1.082153,0.480957,3.727417,-0.360718,1.382755,0.000000,0.000030,0,0,0,0,0.126182,0.000000,0,10
0,0.180359,0.480957,0.180359,0.601196,-0.300598,-3.126220,0.000315,0.000013,0,0,0,0,0.114825,0.000000,0,11
0,2.464905,11.062001,2.284546,10.581044,2.104187,9.979848,0.004301,0.000297,0,0,0,0,0.104491,0.000000,1,0
0,3.486938,24.107944,1.022034,13.045943,-1.262512,2.464899,0.006084,0.000643,0,1,0,0,0.095087,0.000000,0,1
0,0.240479,15.871578,3.246460,8.236366,2.224426,-4.809577,0.000420,0.000437,0,1,0,0,0.111914,0.000000,0,2
0,-0.060120,1.563110,0.180359,14.308468,-3.066101,6.072102,0.000105,0.000043,0,1,0,0,0.127265,0.000000,0,3
