is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,4.800659,0.300003,15.149780,3.000031,-0.299927,2.549995,0.000671,0.000004,0,0,0,0,0.030291,0.000000,0,7
0,-0.450073,-0.150002,4.350586,0.150002,-10.799194,-2.850029,0.000074,0.000002,0,0,0,0,0.022949,0.000000,0,8
0,-0.450073,0.000000,0.000000,0.150002,-4.350586,0.000000,0.000074,0.000000,0,0,0,0,0.030843,0.000000,0,9
0,0.300049,-1.350014,0.150024,1.350014,0.150024,1.200012,0.000050,0.000017,0,0,0,0,0.254634,0.000000,0,10
0,0.000000,-6.000015,0.300049,4.650002,0.150024,3.299988,0.000000,0.000031,0,0,0,0,0.233605,0.000000,1,0
0,-0.450073,-2.099995,0.450073,3.900021,0.150024,-0.749981,0.000074,0.000000,0,0,0,0,0.216006,0.000000,0,1
0,-0.450073,0.749998,0.000000,1.349997,-0.450073,-2.550024,0.000074,0.000000,0,1,0,0,0.201615,0.000000,0,2
0,-3.900635,2.849993,3.450562,2.099995,3.450562,0.749998,0.000645,0.000000,0,0,0,0,0.140623,0.000000,0,3
0,-4.500732,2.099995,0.600098,0.749998,-2.850464,-1.349997,0.000744,0.000000,1,0,0,0,0.131866,0.000000,0,4
0,-2.400391,0.450005,2.100342,1.649990,1.500244,0.899992,0.000397,0.000006,0,1,0,0,0.169147,0.000000,0,5
0,-4.200684,-0.900003,1.800293,0.449999,-0.300049,-1.199991,0.000694,0.000006,0,1,0,0,0.101150,0.000000,0,6
0,-0.300049,-0.299999,3.900635,0.600004,2.100342,0.150005,0.000050,0.000000,0,1,0,0,0.107767,0.000000,0,7
0,-1.650269,-0.749998,1.350220,0.449999,-2.550415,-0.150005,0.000273,0.000000,0,1,0,0,0.116867,0.000000,0,8
0,-1.500244,-2.099995,0.150024,1.349997,-1.200195,0.899998,0.000248,0.000000,0,1,0,0,0.127223,0.000000,0,9
0,-2.850464,-3.899990,1.350220,1.799995,1.200195,0.449999,0.000471,0.000000,0,1,0,0,0.137703,0.000000,1,0
0,-2.700439,-1.949995,0.150024,1.949995,-1.200195,0.150000,0.000446,0.000000,0,1,0,0,0.224379,0.000000,0,1
