is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,-1.199997,-0.449999,1.350006,2.250000,1.200005,2.100000,0.000107,0.000001,0,0,0,0,0.034058,0.000000,0,19
0,-0.300003,0.000000,0.899994,0.449999,-0.450012,-1.800001,0.000031,0.000000,0,0,0,0,0.030993,0.000000,0,20
0,-0.300003,0.150000,0.000000,0.150000,-0.899994,-0.299999,0.000031,0.000000,0,0,0,0,0.028204,0.000000,0,21
0,-0.150002,1.049999,0.150002,0.900000,0.150002,0.750000,0.000015,0.000005,0,0,0,0,0.025665,0.000000,0,22
0,1.650002,1.350002,1.500000,0.300003,1.349998,-0.599997,0.000153,0.000010,0,0,0,0,0.023356,0.000000,0,23
0,1.050003,0.299999,0.599998,1.050003,-0.900002,0.750000,0.000099,0.000001,0,0,0,0,0.021254,0.000000,1,0
0,-3.000000,0.450001,1.949997,0.150002,1.349998,-0.900002,0.000275,0.000003,0,0,0,0,0.019341,0.000000,0,1
0,-1.500000,1.500000,1.500000,1.049999,-0.449997,0.899998,0.000137,0.000009,0,0,0,0,0.002567,0.000000,0,2
0,0.000000,0.299999,1.500000,1.200001,0.000000,0.150002,0.000000,0.000001,1,0,0,0,0.019600,0.000000,0,3
0,0.150002,0.000000,0.150002,0.299999,-1.349998,-0.900002,0.000015,0.000000,0,0,0,0,0.017836,0.000000,0,4
0,0.150002,0.000000,0.150002,0.299999,-1.349998,-0.900002,0.000015,0.000000,0,0,0,0,0.009738,0.000000,0,5
0,1.050003,-0.150000,0.900002,0.150000,0.750000,-0.150000,0.000099,0.000000,0,0,0,0,0.008862,0.000000,0,6
0,2.099998,-0.749998,1.049995,0.599998,0.149994,0.449999,0.000191,0.000002,0,0,0,0,0.008064,0.000000,0,7
0,1.049995,-0.599998,1.050003,0.150000,0.000008,-0.449999,0.000092,0.000002,0,0,0,0,0.007339,0.000000,0,8
0,1.049995,-0.599998,1.050003,0.150000,0.000008,-0.449999,0.000092,0.000002,0,0,0,0,0.006678,0.000000,0,9
0,1.049995,-0.599998,1.050003,0.150000,0.000008,-0.449999,0.000092,0.000002,0,0,0,0,0.006077,0.000000,0,10
0,0.150002,0.000000,0.899994,0.599998,-0.150009,0.449999,0.000015,0.000000,0,0,0,0,0.005530,0.000000,0,11
0,-1.199997,-1.500000,1.049995,1.500000,0.150002,0.900002,0.000107,0.000009,0,0,0,0,0.005032,0.000000,0,12
0,-2.549995,-1.650000,1.349998,0.150000,0.300003,-1.350000,0.000229,0.000009,0,0,0,0,0.004580,0.000000,0,13
0,-0.900002,0.000000,1.649994,1.650000,0.299995,1.500000,0.000084,0.000000,0,0,0,0,0.004167,0.000000,0,14
0,-2.850006,1.350000,1.950005,1.350000,0.300011,-0.299999,0.000267,0.000008,1,0,0,0,0.003792,0.000000,0,15
0,-2.099998,1.199999,0.750008,0.150002,-1.199997,-1.199999,0.000191,0.000006,0,0,0,0,0.003451,0.000000,0,16
0,-0.750000,0.150000,1.349998,1.049999,0.599991,0.899998,0.000069,0.000000,0,0,0,0,0.000000,0.000000,0,17
0,-0.150002,0.000000,0.599998,0.150000,-0.750000,-0.900000,0.000015,0.000000,0,0,0,0,0.000000,0.000000,0,18
0,-0.750000,-0.150000,0.599998,0.150000,0.000000,0.000000,0.000069,0.000000,0,0,0,0,0.000000,0.000000,0,19
0,-1.349991,-0.299999,0.599991,0.150000,-0.000008,0.000000,0.000114,0.000001,0,0,0,0,0.000000,0.000000,0,20
0,-1.500000,-0.150000,0.150009,0.150000,-0.449982,0.000000,0.000137,0.000000,0,0,0,0,0.120200,0.000000,0,21
0,-3.750000,-0.449999,2.250000,0.299999,2.099991,0.150000,0.000343,0.000001,0,0,0,0,0.008614,0.000000,0,22
0,-5.700012,-1.049999,1.950012,0.600000,-0.299988,0.300001,0.000534,0.000005,0,0,0,0,0.008614,0.000000,0,23
