is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,4.350708,-0.150002,0.900146,0.450005,-10.349976,-0.750008,0.001328,0.000002,0,1,0,0,0.199698,0.000000,0,2
0,4.350708,-0.150002,0.900146,0.450005,-10.349976,-0.750008,0.001328,0.000002,1,1,0,0,0.206112,0.000000,0,3
0,4.350708,-0.150002,0.900146,0.450005,-10.349976,-0.750008,0.001328,0.000002,0,1,0,0,0.455907,0.000000,0,4
0,4.350708,-0.150002,0.900146,0.450005,-10.349976,-0.750008,0.001328,0.000002,0,0,0,0,0.274557,0.000000,0,5
0,-1.350220,0.600006,3.000488,0.450005,2.100342,0.000000,0.000412,0.000006,0,0,0,0,0.266012,0.000000,0,6
0,-12.451904,3.900040,11.101685,3.300034,8.101196,2.850029,0.003677,0.000039,0,0,0,0,0.258182,0.000000,0,7
0,-12.601685,4.200039,0.149780,0.299999,-10.951904,-3.000034,0.003479,0.000038,0,0,0,0,0.253358,0.000000,0,8
0,-4.950806,1.650017,7.650879,2.550022,7.501099,2.250023,0.001511,0.000017,0,0,0,0,0.249593,0.000000,0,9
0,-3.300537,0.000000,1.650269,1.650017,-6.000610,-0.900005,0.001007,0.000000,0,0,0,0,0.227130,0.000000,0,10
0,-3.000488,-2.100021,0.300049,2.100021,-1.350220,0.450005,0.000916,0.000021,0,0,0,0,0.206688,0.000000,0,11
0,-4.350708,-4.950050,1.350220,2.850029,1.050171,0.750008,0.001328,0.000050,0,0,0,0,0.188086,0.000000,1,0
0,-10.501587,-6.600060,6.150879,1.650009,4.800659,-1.200020,0.003082,0.000059,0,1,0,0,0.171158,0.000000,0,1
0,-9.151367,-1.650017,1.350220,4.950043,-4.800659,3.300034,0.002670,0.000017,0,1,0,0,0.166058,0.000000,0,2
0,2.250366,1.800018,6.901001,0.150002,5.550781,-4.800041,0.000687,0.000018,1,1,0,0,0.167809,0.000000,0,3
0,2.250366,1.800018,6.901001,0.150002,5.550781,-4.800041,0.000687,0.000018,0,1,0,0,0.377670,0.000000,0,4
0,2.250366,1.800018,6.901001,0.150002,5.550781,-4.800041,0.000687,0.000018,0,1,0,0,0.232132,0.000000,0,5
0,-1.050171,0.150002,1.200195,1.650017,-5.700806,1.500015,0.000320,0.000002,0,1,0,0,0.237207,0.000000,0,6
0,-3.750610,1.500015,2.700439,1.350014,1.500244,-0.300003,0.001144,0.000015,0,1,0,0,0.241855,0.000000,0,7
0,-7.951294,1.650017,4.200684,0.150002,1.500244,-1.200012,0.002426,0.000017,0,0,0,0,0.236013,0.000000,0,8
0,-8.101318,2.100021,0.150024,0.450005,-4.050659,0.300003,0.002472,0.000021,0,0,0,0,0.214772,0.000000,0,9
0,-6.451050,0.750008,1.650269,1.350014,1.500244,0.900009,0.001968,0.000008,0,0,0,0,0.195442,0.000000,0,10
0,-1.200195,-1.200012,5.250854,0.450005,3.600586,-0.900009,0.000366,0.000012,0,0,0,0,0.177853,0.000000,0,11
