is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,7.429230,5.759777,2.253708,0.250422,-1.085236,-4.674608,0.000114,0.000006,0,0,0,0,0.142550,0.000000,0,5
0,4.174011,3.672844,3.255219,2.086933,1.001511,1.836512,0.000351,0.000061,0,0,0,0,0.077832,0.000000,0,6
0,6.928497,2.086834,2.754486,1.586010,-0.500732,-0.500923,0.000221,0.000044,0,0,0,0,0.070827,0.000000,0,7
0,3.422478,0.333893,3.506020,1.752941,0.751534,0.166931,0.000076,0.000008,0,0,0,0,0.045189,0.000000,0,8
0,3.422478,0.333893,3.506020,1.752941,0.751534,0.166931,0.000076,0.000008,0,0,0,0,0.022423,0.000000,0,9
0,-0.250420,1.085152,3.172058,0.751259,-0.333961,-1.001682,0.000000,0.000025,0,0,0,0,0.022423,0.000000,0,10
0,-1.001678,0.667786,0.751259,0.417366,-2.420799,-0.333893,0.000000,0.000015,0,0,0,0,0.026202,0.000000,0,11
0,0.500839,-2.003357,0.500839,1.335571,-0.250420,0.918205,0.000000,0.000046,0,0,0,0,0.019663,0.000000,1,0
0,5.258827,-2.838093,4.757988,0.834736,4.257149,-0.500835,0.000015,0.000061,0,0,0,0,0.017893,0.000000,0,1
0,8.263878,-1.085152,3.005051,1.752941,-1.752937,0.918205,0.000031,0.000025,0,0,0,0,0.016283,0.000000,0,2
0,4.757980,4.090240,3.505898,3.005089,0.500847,1.252148,0.000008,0.000040,0,0,0,0,0.034415,0.000000,0,3
0,11.352554,6.844913,6.594574,2.754673,3.088676,-0.250416,0.000198,0.000046,1,0,0,0,0.050705,0.000000,0,4
0,16.194153,2.337257,4.841599,4.507656,-1.752975,1.752983,0.000351,0.000046,0,0,0,0,0.194275,0.000000,0,5
0,4.257149,-0.166946,11.937004,2.170311,7.095406,-2.337345,0.000015,0.000004,0,0,0,0,0.118798,0.000000,0,6
0,4.257149,-0.166946,11.937004,2.170311,7.095406,-2.337345,0.000015,0.000004,0,0,0,0,0.122698,0.000000,0,7
0,0.000000,0.333893,4.257149,0.166946,-7.679855,-2.003365,0.000000,0.000008,0,0,0,0,0.131187,0.000000,0,8
0,-0.667786,0.500839,0.667786,0.166946,-3.589363,0.000000,0.000000,0.000011,0,0,0,0,0.138915,0.000000,0,9
0,-1.669464,1.919884,1.001678,1.419044,0.333893,1.252098,0.000000,0.000044,0,0,0,0,0.126412,0.000000,0,10
0,-8.097008,0.333893,6.427544,1.585991,5.425865,0.166946,0.000107,0.000008,0,0,0,0,0.115035,0.000000,0,11
0,-14.190773,-4.090214,6.093765,3.756321,-0.333778,2.170330,0.000328,0.000067,0,0,0,0,0.104682,0.000000,1,0
0,-15.108971,-9.933483,0.918198,5.843269,-5.175568,2.086948,0.000320,0.000055,0,0,0,0,0.095261,0.000000,0,1
0,-7.011856,-6.928411,8.097115,3.005072,7.178917,-2.838198,0.000107,0.000023,0,0,0,0,0.087107,0.000000,0,2
0,5.258812,2.086878,1.753044,4.841534,-6.344070,1.836462,0.000000,0.000000,0,0,0,0,0.086024,0.000000,0,3
0,-1.168625,5.425827,4.090187,3.338949,2.337143,-1.502584,0.000000,0.000055,1,0,0,0,0.088604,0.000000,0,4
0,-5.425766,4.257156,4.257141,1.168671,0.166954,-2.170279,0.000008,0.000074,0,0,0,0,0.230063,0.000000,0,5
0,-5.592751,1.001678,0.166985,3.255478,-4.090157,2.086807,0.000046,0.000023,0,0,0,0,0.144939,0.000000,0,6
0,-6.344131,0.000000,0.751381,1.001678,0.584396,-2.253799,0.000168,0.000000,0,0,0,0,0.150890,0.000000,0,7
0,-2.838303,-0.166946,3.505829,0.166946,2.754448,-0.834732,0.000214,0.000004,0,0,0,0,0.137310,0.000000,0,8
0,-3.339172,0.751259,0.500870,0.584312,-3.004959,0.417366,0.000244,0.000017,0,0,0,0,0.124952,0.000000,0,9
0,-4.340927,0.584312,1.001755,0.166946,0.500885,-0.417366,0.000320,0.000013,0,0,0,0,0.113706,0.000000,0,10
0,-0.500885,-1.252098,3.840042,0.667786,2.838287,0.500839,0.000046,0.000029,0,0,0,0,0.103473,0.000000,0,11
0,-1.920044,-6.928368,1.419159,5.676270,-2.420883,5.008484,0.000160,0.000067,0,0,0,0,0.094160,0.000000,1,0
0,-2.253876,-9.516127,0.333832,2.587759,-1.085327,-3.088511,0.000099,0.000036,0,0,0,0,0.085686,0.000000,0,1
