is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,60.404785,0.000000,49.629822,5.550709,37.113586,-1.850239,0.002296,0.000000,0,1,0,0,0.119853,0.000000,0,6
0,21.658661,0.108837,38.746124,0.108837,-10.883698,-5.441872,0.000832,0.000000,0,1,0,0,0.121383,0.000000,0,7
0,-3.482788,0.870697,18.175873,0.761860,-20.570251,0.653023,0.000122,0.000002,0,1,0,0,0.127903,0.000000,0,8
0,-4.462341,0.217674,0.979553,0.653023,-17.196320,-0.108837,0.000175,0.000001,0,1,0,0,0.137594,0.000000,0,9
0,-15.454910,-2.067913,10.992569,1.850239,10.013016,1.197216,0.000580,0.000002,0,1,0,0,0.150306,0.000000,0,10
0,0.979523,0.544186,14.475388,1.523727,3.482819,-0.326511,0.000023,0.000002,0,0,0,0,0.162053,0.000000,0,11
0,12.951645,-9.468857,11.972122,8.924671,-2.503265,7.400944,0.000481,0.000000,0,0,0,0,0.155150,0.000000,1,0
0,8.380478,-10.121883,4.571167,0.653027,-7.400955,-8.271645,0.000313,0.000002,0,0,0,0,0.148439,0.000000,0,1
0,-0.108841,-4.244658,8.271637,5.877226,3.700470,5.224199,0.000008,0.000002,0,1,0,0,0.144571,0.000000,0,2
0,-0.544205,1.306051,0.435364,2.938606,-7.836273,-2.938620,0.000038,0.000002,0,1,0,0,0.157081,0.000000,0,3
0,-6.747940,9.468857,6.203735,8.162806,5.768372,5.224199,0.000275,0.000000,1,1,0,0,0.168907,0.000000,0,4
0,-4.680008,5.550709,2.067932,3.918148,-4.135803,-4.244658,0.000175,0.000000,0,1,0,0,0.397506,0.000000,0,5
0,-0.108841,1.523720,4.571167,4.026989,2.503235,0.108841,0.000008,0.000004,0,1,0,0,0.235221,0.000000,0,6
0,0.000000,3.482792,0.108841,1.959072,-4.462326,-2.067917,0.000000,0.000006,0,1,0,0,0.233649,0.000000,0,7
0,0.000000,5.877228,0.000000,2.394436,-0.108841,0.435364,0.000000,0.000006,0,1,0,0,0.233416,0.000000,0,8
0,0.653046,9.904205,0.653046,4.026978,0.653046,1.632542,0.000046,0.000001,0,0,0,0,0.234353,0.000000,0,9
0,8.815826,6.421406,8.162781,3.482800,7.509735,-0.544178,0.000328,0.000003,0,0,0,0,0.221693,0.000000,0,10
0,19.264221,-3.265121,10.448395,3.156284,2.285614,-0.326515,0.000725,0.000002,0,0,0,0,0.216500,0.000000,0,11
0,13.495834,-14.148872,5.768387,10.883751,-4.680008,7.727467,0.000504,0.000006,0,0,0,0,0.214815,0.000000,1,0
0,15.346085,-15.237240,1.850250,1.088367,-3.918137,-9.795383,0.000587,0.000001,0,1,0,0,0.214895,0.000000,0,1
0,4.244659,-7.183273,11.101425,8.053967,9.251175,6.965599,0.000160,0.000003,0,1,0,0,0.215658,0.000000,0,2
0,5.877220,-1.197210,1.632561,5.986063,-9.468864,-2.067904,0.000221,0.000001,0,1,0,0,0.215996,0.000000,0,3
0,5.768379,2.394423,0.108841,1.197212,-1.523720,-4.788851,0.000214,0.000001,1,1,0,0,0.216001,0.000000,0,4
0,0.108841,0.000000,5.659538,2.394423,5.550697,1.197210,0.000008,0.000000,0,1,0,0,0.423730,0.000000,0,5
0,0.108841,0.000000,5.659538,2.394423,5.550697,1.197210,0.000008,0.000000,0,1,0,0,0.257338,0.000000,0,6
0,-0.435356,0.761860,0.326515,0.761860,-5.333023,-1.632563,0.000023,0.000002,0,1,0,0,0.260156,0.000000,0,7
0,2.067917,4.244659,1.632561,3.482800,1.306046,2.720940,0.000084,0.000000,0,1,0,0,0.262742,0.000000,0,8
0,9.033516,9.033508,6.965599,4.788849,5.333038,1.306049,0.000351,0.000001,0,0,0,0,0.264813,0.000000,0,9
0,5.224197,2.285587,3.809319,6.747921,-3.156281,1.959072,0.000198,0.000001,0,0,0,0,0.257852,0.000000,0,10
0,-0.435349,-1.741394,4.788849,0.544193,0.979530,-6.203728,0.000015,0.000005,0,0,0,0,0.251826,0.000000,0,11
0,3.265121,-7.836296,2.829773,6.094902,-1.959076,5.550709,0.000122,0.000001,0,0,0,0,0.247143,0.000000,1,0
0,2.067917,-5.115358,1.197205,2.720938,-1.632568,-3.373964,0.000084,0.000001,0,1,0,0,0.243360,0.000000,0,1
0,6.747917,-4.353498,4.680000,0.761860,3.482796,-1.959078,0.000252,0.000001,0,1,0,0,0.243698,0.000000,0,2
0,1.197212,0.870701,5.550705,3.482798,0.870705,2.720938,0.000046,0.000001,0,1,0,0,0.244467,0.000000,0,3
0,-3.918152,3.809307,2.720940,2.938606,-2.829765,-0.544191,0.000153,0.000003,1,1,0,0,0.246488,0.000000,0,4
0,-3.918152,3.809307,2.720940,2.938606,-2.829765,-0.544191,0.000153,0.000003,0,1,0,0,0.484125,0.000000,0,5
0,-0.326515,1.306049,3.591637,2.503258,0.870697,-0.435349,0.000015,0.000000,0,1,0,0,0.290133,0.000000,0,6
0,5.006516,3.047447,4.680000,1.741398,1.088364,-0.761860,0.000183,0.000001,0,1,0,0,0.290010,0.000000,0,7
0,20.787949,7.727459,15.781433,4.680012,11.101433,2.938614,0.000786,0.000001,0,1,0,0,0.288593,0.000000,0,8
0,23.508888,5.550713,2.720940,2.176746,-13.060493,-2.503265,0.000893,0.000003,0,1,0,0,0.282758,0.000000,0,9
0,11.101418,1.632557,12.407471,3.918156,9.686531,1.741409,0.000420,0.000005,0,0,0,0,0.275184,0.000000,0,10
0,10.666069,-0.217674,0.435349,1.414883,-11.972122,-2.503273,0.000404,0.000001,0,0,0,0,0.269727,0.000000,0,11
0,6.203733,-4.135818,4.462336,3.918144,4.026987,2.503262,0.000235,0.000004,0,0,0,0,0.264373,0.000000,0,12
0,-10.883743,-16.760965,4.680010,12.625147,0.217674,8.707003,0.000412,0.000001,0,0,0,0,0.260142,0.000000,1,0
0,-3.265123,-5.333033,7.618620,11.427933,2.938610,-1.197214,0.000124,0.000002,0,0,0,0,0.256328,0.000000,0,1
0,1.523724,-0.761862,1.741400,4.571171,-5.877220,-6.856762,0.000057,0.000000,0,1,0,0,0.252850,0.000000,0,2
0,8.271645,13.931189,6.747921,13.169327,5.006521,8.598156,0.000313,0.000003,1,1,0,0,0.246004,0.000000,0,3
0,6.639082,11.427929,1.632563,2.503260,-5.115358,-10.666067,0.000250,0.000002,0,1,0,0,0.397649,0.000000,0,4
0,0.653024,-0.761860,5.986058,10.666069,4.353496,8.162809,0.000024,0.000002,0,1,0,0,0.242934,0.000000,0,5
0,0.653024,-0.761860,5.986058,10.666069,4.353496,8.162809,0.000024,0.000002,0,1,0,0,0.246923,0.000000,0,6
0,0.653024,-0.761860,5.986058,10.666069,4.353496,8.162809,0.000024,0.000002,0,1,0,0,0.250583,0.000000,0,7
0,4.897685,1.959068,4.244661,1.197208,-1.741397,-9.468861,0.000186,0.000005,0,1,0,0,0.253672,0.000000,0,8
0,11.319093,3.591625,6.421408,1.632557,2.176746,0.435349,0.000428,0.000010,0,0,0,0,0.255381,0.000000,0,9
0,16.325615,0.653023,5.006522,2.938602,-1.414886,1.306046,0.000618,0.000002,0,0,0,0,0.251702,0.000000,0,10
0,10.666067,-3.591633,5.659548,2.938610,0.653026,0.000008,0.000402,0.000002,0,0,0,0,0.248645,0.000000,0,11
0,5.659548,-14.475380,5.006519,10.883747,-0.653028,7.945137,0.000216,0.000001,0,0,0,0,0.245745,0.000000,1,0
0,-1.088371,-9.468857,4.571177,5.006523,-0.435343,-5.877224,0.000038,0.000000,0,0,0,0,0.243158,0.000000,0,1
0,-1.959074,-3.047447,0.870703,6.421410,-3.700474,1.414886,0.000074,0.000001,0,1,0,0,0.240854,0.000000,0,2
0,4.788851,5.006521,2.829777,1.959074,1.959074,-4.462336,0.000185,0.000001,1,1,0,0,0.235990,0.000000,0,3
0,-0.653023,16.107939,4.135828,11.101418,1.306051,9.142344,0.000023,0.000001,0,1,0,0,0.419215,0.000000,0,4
0,-0.544186,6.094894,0.108837,10.013044,-4.026991,-1.088373,0.000019,0.000002,0,1,0,0,0.254884,0.000000,0,5
