is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,0.000000,-2.999999,1.050011,1.500000,0.600006,0.900000,0.000000,0.000057,1,0,0,0,0.207452,0.000000,0,9
0,0.600006,-2.099998,0.600006,0.900001,-0.450005,-0.599999,0.000015,0.000039,1,0,0,0,0.213266,0.000000,0,10
0,0.000000,-4.650000,0.600006,2.550002,0.000000,1.650001,0.000000,0.000090,1,0,0,0,0.216443,0.000000,0,11
0,-0.300003,-5.250000,0.300003,0.600000,-0.300003,-1.950001,0.000008,0.000101,1,0,0,0,0.200198,0.000000,1,0
0,-0.150002,-0.450000,0.150002,4.800000,-0.150002,4.200000,0.000004,0.000009,1,0,0,0,0.202674,0.000000,0,1
0,0.000000,-0.150000,0.150002,0.300000,0.000000,-4.500000,0.000000,0.000003,1,0,0,0,0.207359,0.000000,0,2
0,0.300003,1.950000,0.300003,1.800000,0.150002,1.500000,0.000008,0.000038,1,0,0,0,0.210814,0.000000,0,3
0,2.549995,8.850000,2.249992,6.900000,1.949989,5.100000,0.000034,0.000171,1,0,0,0,0.212778,0.000000,0,4
0,2.849991,5.849999,0.299995,3.000001,-1.949997,-3.899999,0.000034,0.000112,0,0,0,0,0.213857,0.000000,0,5
0,0.900009,4.650001,1.949982,1.199999,1.649986,-1.800002,0.000023,0.000090,0,0,0,0,0.136319,0.000000,0,6
0,0.750008,3.600002,0.150002,1.049998,-1.799980,-0.150001,0.000019,0.000072,0,0,0,0,0.143599,0.000000,0,7
0,-0.150002,2.550003,0.600006,1.049999,0.450005,0.000001,0.000004,0.000052,0,0,0,0,0.150240,0.000000,0,8
0,-1.949997,2.850000,1.799995,0.299997,1.199989,-0.750002,0.000027,0.000055,0,0,0,0,0.156314,0.000000,0,9
0,-5.700005,5.250000,3.750008,2.400000,1.950012,2.100002,0.000092,0.000101,0,0,0,0,0.161790,0.000000,1,0
0,-1.949997,0.599998,3.750008,4.650002,0.000000,2.250002,0.000027,0.000010,0,0,0,0,0.163258,0.000000,0,1
0,-0.300003,-2.550001,1.649994,1.950003,-2.100014,-2.699999,0.000008,0.000050,0,0,0,0,0.153422,0.000000,0,2
0,-4.200005,-5.999996,3.900002,3.449995,2.250008,1.499992,0.000069,0.000112,0,0,0,0,0.158233,0.000000,0,3
0,-4.799988,-2.850000,0.599983,3.149996,-3.300018,-0.299999,0.000061,0.000055,0,0,0,0,0.163372,0.000000,0,4
0,-0.449997,0.000000,4.349991,2.850000,3.750008,-0.299995,0.000004,0.000000,0,0,0,0,0.165610,0.000000,0,5
0,-0.449997,0.000000,4.349991,2.850000,3.750008,-0.299995,0.000004,0.000000,1,0,0,0,0.168198,0.000000,0,6
