is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,0.000000,0.108095,0.027023,0.162143,-0.027023,0.081071,0.000000,0.000013,1,0,0,0,0.151765,0.000000,1,0
0,0.000000,0.108095,0.027023,0.162143,-0.027023,0.081071,0.000000,0.000013,1,0,0,0,0.082863,0.000000,0,1
0,0.000000,0.108095,0.027023,0.162143,-0.027023,0.081071,0.000000,0.000013,1,0,0,0,0.045243,0.000000,0,2
0,0.000000,0.108095,0.027023,0.162143,-0.027023,0.081071,0.000000,0.000013,1,0,0,0,0.024703,0.000000,0,3
0,0.000000,0.108095,0.027023,0.162143,-0.027023,0.081071,0.000000,0.000013,1,0,0,0,0.013488,0.000000,0,4
0,0.000000,0.108095,0.027023,0.162143,-0.027023,0.081071,0.000000,0.000013,1,0,0,0,0.007364,0.000000,0,5
0,-0.054047,0.000000,0.054047,0.108095,0.027023,-0.054048,0.000001,0.000000,0,0,0,0,0.419894,0.000000,0,6
0,-1.162003,-0.567500,1.107956,0.567500,1.053909,0.459404,0.000029,0.000069,0,0,0,0,0.229262,0.000000,0,7
0,-0.513443,0.189167,0.648560,0.378332,-0.459396,-0.189167,0.000013,0.000024,0,0,0,0,0.208629,0.000000,0,8
0,-0.513443,0.189167,0.648560,0.378332,-0.459396,-0.189167,0.000013,0.000024,0,0,0,0,0.189852,0.000000,0,9
0,-0.513443,0.189167,0.648560,0.378332,-0.459396,-0.189167,0.000013,0.000024,0,0,0,0,0.172765,0.000000,0,10
0,-0.513443,0.189167,0.648560,0.378332,-0.459396,-0.189167,0.000013,0.000024,0,0,0,0,0.157217,0.000000,0,11
0,-0.513443,0.189167,0.648560,0.378332,-0.459396,-0.189167,0.000013,0.000024,0,1,0,0,0.143067,0.000000,0,12
0,-0.513443,0.189167,0.648560,0.378332,-0.459396,-0.189167,0.000013,0.000024,0,1,0,0,0.104757,0.000000,0,13
0,0.162140,0.054048,0.351303,0.135120,-0.297256,-0.243212,0.000004,0.000007,0,1,0,0,0.069921,0.000000,0,14
0,0.702606,0.675595,0.540466,0.621547,0.189163,0.486427,0.000017,0.000082,0,1,0,0,0.038266,0.000000,0,15
0,0.189163,-0.054048,0.513443,0.621547,-0.027023,0.000000,0.000005,0.000007,1,1,0,0,0.010010,0.000000,0,16
0,3.269932,-0.324286,3.080769,0.270238,2.567326,-0.351309,0.000030,0.000039,1,1,0,0,0.118964,0.000000,1,0
0,1.378201,-0.108095,1.891731,0.216190,-1.189037,-0.054048,0.000023,0.000013,1,1,0,0,0.166326,0.000000,0,1
0,-0.081070,0.000000,1.297131,0.108095,-0.594601,-0.108095,0.000002,0.000000,1,1,0,0,0.204108,0.000000,0,2
0,-0.945816,0.351309,0.864746,0.351309,-0.432384,0.243214,0.000023,0.000043,0,1,0,0,0.340695,0.000000,0,3
0,-2.999649,1.378219,2.053833,1.026909,1.189087,0.675600,0.000013,0.000172,0,0,0,0,0.173526,0.000000,0,4
0,-3.783413,0.810728,0.783764,0.567491,-1.270069,-0.459419,0.000055,0.000113,0,0,0,0,0.164455,0.000000,0,5
0,-5.999371,0.054049,2.215958,0.756680,1.432194,0.189189,0.000046,0.000008,0,0,0,0,0.156438,0.000000,0,6
0,-8.134308,0.648582,2.134937,0.594534,-0.081020,-0.162146,0.000089,0.000090,0,0,0,0,0.148806,0.000000,0,7
0,-4.512894,0.000000,3.621414,0.648582,1.486477,0.054049,0.000112,0.000000,0,0,0,0,0.142786,0.000000,0,8
0,-0.297256,-0.189170,4.215637,0.189170,0.594223,-0.459413,0.000007,0.000026,0,1,0,0,0.139496,0.000000,0,9
0,0.648560,-0.945849,0.351303,0.756680,-3.864334,0.567510,0.000016,0.000131,0,1,0,0,0.124362,0.000000,0,10
0,2.053772,-1.999774,1.405212,1.053925,1.053909,0.297245,0.000051,0.000256,0,1,0,0,0.117128,0.000000,0,11
0,1.432236,-1.621434,0.621536,0.378340,-0.783676,-0.675585,0.000035,0.000203,0,1,0,0,0.097067,0.000000,0,12
0,-0.135117,-0.783690,1.297119,0.837744,0.675583,0.459404,0.000003,0.000095,1,1,0,0,0.085252,0.000000,0,13
0,0.081070,-0.810719,0.054047,0.027029,-1.243073,-0.810715,0.000002,0.000103,1,1,0,0,0.150988,0.000000,0,14
0,0.432373,-0.351312,0.351303,0.459406,0.297256,0.432378,0.000011,0.000046,1,1,0,0,0.202805,0.000000,0,15
0,0.216187,-0.108096,0.216187,0.243216,-0.135117,-0.216190,0.000005,0.000014,1,1,0,0,0.236898,0.000000,1,0
0,0.270233,0.270240,0.054047,0.162144,-0.162140,-0.081072,0.000007,0.000035,1,1,0,0,0.204809,0.000000,0,1
0,0.054047,0.837744,0.216187,0.567504,0.162140,0.405360,0.000001,0.000108,1,0,0,0,0.239189,0.000000,0,2
0,0.000000,0.756666,0.054047,0.081078,-0.162140,-0.486426,0.000000,0.000092,1,0,0,0,0.130597,0.000000,0,3
0,0.216187,0.648571,0.216187,0.108095,0.162140,0.027017,0.000005,0.000079,1,0,0,0,0.120519,0.000000,0,4
0,0.000000,0.027024,0.216187,0.621547,0.000000,0.513452,0.000000,0.000003,1,0,0,0,0.155985,0.000000,0,5
0,0.000000,0.027024,0.216187,0.621547,0.000000,0.513452,0.000000,0.000003,1,0,0,0,0.181717,0.000000,0,6
0,0.000000,0.027024,0.216187,0.621547,0.000000,0.513452,0.000000,0.000003,0,0,0,0,0.239909,0.000000,0,7
0,0.000000,0.027024,0.216187,0.621547,0.000000,0.513452,0.000000,0.000003,0,0,0,0,0.133841,0.000000,0,8
0,-0.945816,0.135119,0.945816,0.108095,0.729630,-0.513452,0.000023,0.000016,0,0,0,0,0.127193,0.000000,0,9
0,-1.486282,-0.216190,0.540466,0.081071,-0.405350,-0.027024,0.000037,0.000026,0,1,0,0,0.123460,0.000000,0,10
0,-1.270096,-0.945833,0.216187,0.729642,-0.324280,0.648571,0.000031,0.000115,0,1,0,0,0.106827,0.000000,0,11
0,-1.999725,-0.972861,0.729630,0.027028,0.513443,-0.702614,0.000049,0.000122,0,1,0,0,0.097288,0.000000,0,12
0,-0.621536,-0.054048,1.378189,0.918813,0.648560,0.891785,0.000015,0.000007,1,1,0,0,0.095356,0.000000,0,13
0,-0.108093,-0.054048,0.513443,0.000000,-0.864746,-0.918813,0.000003,0.000007,1,1,0,0,0.182139,0.000000,0,14
0,-0.216187,-0.297264,0.108093,0.243216,-0.405350,0.243216,0.000005,0.000039,1,1,0,0,0.223553,0.000000,0,15
0,0.243210,-0.324288,0.027023,0.027024,-0.081070,-0.216192,0.000006,0.000042,1,1,0,0,0.220158,0.000000,1,0
0,0.054047,-0.027024,0.189163,0.297264,0.162140,0.270240,0.000001,0.000004,1,1,0,0,0.194306,0.000000,0,1
0,0.054047,-0.027024,0.189163,0.297264,0.162140,0.270240,0.000001,0.000004,1,0,0,0,0.232639,0.000000,0,2
0,0.189163,0.108096,0.135117,0.081072,-0.054047,-0.216192,0.000005,0.000014,1,0,0,0,0.127021,0.000000,0,3
0,0.297256,0.270240,0.108093,0.162144,-0.027023,0.081072,0.000007,0.000035,0,0,0,0,0.469869,0.000000,0,4
0,0.135117,-0.027024,0.162140,0.243216,0.054047,0.081072,0.000003,0.000004,0,0,0,0,0.267451,0.000000,0,5
0,0.270233,0.000000,0.135117,0.027024,-0.027023,-0.216192,0.000007,0.000000,0,0,0,0,0.232608,0.000000,0,6
0,0.270233,0.000000,0.135117,0.027024,-0.027023,-0.216192,0.000007,0.000000,0,0,0,0,0.202171,0.000000,0,7
0,0.270233,0.000000,0.135117,0.027024,-0.027023,-0.216192,0.000007,0.000000,0,0,0,0,0.176075,0.000000,0,8
0,0.270233,0.000000,0.135117,0.027024,-0.027023,-0.216192,0.000007,0.000000,0,1,0,0,0.154331,0.000000,0,9
0,0.270233,0.000000,0.135117,0.027024,-0.027023,-0.216192,0.000007,0.000000,0,1,0,0,0.118892,0.000000,0,10
0,0.270233,0.000000,0.135117,0.027024,-0.027023,-0.216192,0.000007,0.000000,0,1,0,0,0.088945,0.000000,0,11
0,0.216187,-0.135120,0.054047,0.135120,-0.081070,0.108096,0.000005,0.000018,0,1,0,0,0.055505,0.000000,0,12
0,1.513306,-1.243105,1.297119,1.107985,1.243073,0.972865,0.000037,0.000162,0,1,0,0,0.025277,0.000000,0,13
0,1.216049,-0.864769,0.297256,0.378337,-0.999863,-0.729649,0.000030,0.000112,1,1,0,0,0.007477,0.000000,1,0
0,0.000000,-0.027024,1.216049,0.837745,0.918793,0.459408,0.000000,0.000003,1,1,0,0,0.128606,0.000000,0,1
0,0.081070,0.000000,0.081070,0.027024,-1.134979,-0.810721,0.000002,0.000000,1,0,0,0,0.197597,0.000000,0,2
0,0.702606,0.675600,0.621536,0.675600,0.540466,0.648576,0.000017,0.000088,1,0,0,0,0.107888,0.000000,0,3
0,0.729630,1.053937,0.027023,0.378337,-0.594513,-0.297264,0.000018,0.000137,1,0,0,0,0.058907,0.000000,0,4
0,0.297256,0.243216,0.432373,0.810721,0.405350,0.432384,0.000007,0.000032,1,0,0,0,0.032163,0.000000,0,5
0,0.027023,0.000000,0.270233,0.243216,-0.162140,-0.567505,0.000001,0.000000,1,0,0,0,0.017561,0.000000,0,6
0,0.027023,0.000000,0.270233,0.243216,-0.162140,-0.567505,0.000001,0.000000,1,0,0,0,0.009150,0.000000,0,7
0,0.027023,0.000000,0.270233,0.243216,-0.162140,-0.567505,0.000001,0.000000,1,0,0,0,0.004996,0.000000,0,8
0,-0.081070,-0.054048,0.054047,0.054048,-0.216187,-0.189168,0.000002,0.000007,1,1,0,0,0.004996,0.000000,0,9
0,-0.108093,-0.675601,0.027023,0.621553,-0.027023,0.567505,0.000003,0.000088,1,1,0,0,0.127396,0.000000,0,10
0,0.270233,-1.486320,0.162140,0.810719,0.135117,0.189167,0.000007,0.000192,1,1,0,0,0.196954,0.000000,0,11
0,0.540466,-0.972863,0.270233,0.513457,0.108093,-0.297262,0.000013,0.000125,1,1,0,0,0.234930,0.000000,0,12
0,0.783676,-0.783695,0.243210,0.189168,-0.027023,-0.324289,0.000019,0.000101,1,1,0,0,0.255656,0.000000,1,0
0,0.135117,-0.135120,0.648560,0.648575,0.405350,0.459408,0.000003,0.000018,1,1,0,0,0.211146,0.000000,0,1
0,0.000000,0.027024,0.135117,0.108096,-0.513443,-0.540479,0.000000,0.000004,1,0,0,0,0.242681,0.000000,0,2
0,-0.243210,0.945840,0.243210,0.918815,0.108093,0.810719,0.000006,0.000122,1,0,0,0,0.132504,0.000000,0,3
0,-0.054047,0.540480,0.189163,0.405360,-0.054047,-0.513456,0.000001,0.000069,1,0,0,0,0.072347,0.000000,0,4
0,-0.054047,0.540480,0.189163,0.405360,-0.054047,-0.513456,0.000001,0.000069,1,0,0,0,0.039502,0.000000,0,5
0,-0.054047,0.540480,0.189163,0.405360,-0.054047,-0.513456,0.000001,0.000069,1,0,0,0,0.021568,0.000000,0,6
0,-0.054047,0.540480,0.189163,0.405360,-0.054047,-0.513456,0.000001,0.000069,1,0,0,0,0.011776,0.000000,0,7
0,-0.054047,0.540480,0.189163,0.405360,-0.054047,-0.513456,0.000001,0.000069,1,0,0,0,0.006043,0.000000,0,8
0,0.000000,-0.027024,0.054047,0.513456,-0.135117,0.108096,0.000000,0.000003,1,0,0,0,0.003299,0.000000,0,9
0,0.000000,-0.135120,0.000000,0.108096,-0.054047,-0.405360,0.000000,0.000017,1,1,0,0,0.003299,0.000000,0,10
0,-0.054047,-0.135120,0.054047,0.000000,0.054047,-0.108096,0.000001,0.000017,1,1,0,0,0.127396,0.000000,0,11
0,-0.054047,-0.135120,0.054047,0.000000,0.054047,-0.108096,0.000001,0.000017,1,1,0,0,0.196954,0.000000,1,0
0,-0.054047,-0.135120,0.054047,0.000000,0.054047,-0.108096,0.000001,0.000017,1,0,0,0,0.191918,0.000000,0,1
0,-0.054047,-0.135120,0.054047,0.000000,0.054047,-0.108096,0.000001,0.000017,0,0,0,0,0.419870,0.000000,0,2
0,-0.054047,-0.135120,0.054047,0.000000,0.054047,-0.108096,0.000001,0.000017,0,0,0,0,0.229249,0.000000,0,3
0,0.000000,0.027024,0.054047,0.108096,0.000000,0.108096,0.000000,0.000003,0,0,0,0,0.208617,0.000000,0,4
0,0.000000,0.027024,0.054047,0.108096,0.000000,0.108096,0.000000,0.000003,0,0,0,0,0.189841,0.000000,0,5
0,0.000000,0.027024,0.054047,0.108096,0.000000,0.108096,0.000000,0.000003,0,0,0,0,0.172755,0.000000,0,6
0,0.000000,0.027024,0.054047,0.108096,0.000000,0.108096,0.000000,0.000003,0,0,0,0,0.157207,0.000000,0,7
0,0.000000,0.027024,0.054047,0.108096,0.000000,0.108096,0.000000,0.000003,0,0,0,0,0.143059,0.000000,0,8
0,0.000000,0.027024,0.054047,0.108096,0.000000,0.108096,0.000000,0.000003,0,1,0,0,0.130183,0.000000,0,9
0,0.000000,0.108096,0.000000,0.081072,-0.054047,-0.027024,0.000000,0.000014,0,1,0,0,0.092989,0.000000,0,10
0,0.000000,0.540480,0.000000,0.432384,0.000000,0.351312,0.000000,0.000069,0,1,0,0,0.059144,0.000000,0,11
0,0.054047,0.648576,0.054047,0.108096,0.054047,-0.324287,0.000001,0.000084,1,1,0,0,0.028350,0.000000,0,12
0,0.027023,0.081072,0.027023,0.567504,-0.027023,0.459407,0.000001,0.000011,1,1,0,0,0.101618,0.000000,0,13
0,0.000000,0.162144,0.027023,0.081072,0.000000,-0.486432,0.000000,0.000021,1,1,0,0,0.182878,0.000000,0,14
0,0.000000,0.243216,0.000000,0.081072,-0.027023,0.000000,0.000000,0.000032,1,1,0,0,0.227247,0.000000,0,15
0,0.000000,0.621553,0.000000,0.378336,0.000000,0.297264,0.000000,0.000081,1,1,0,0,0.251473,0.000000,0,16
0,0.000000,1.107985,0.000000,0.486433,0.000000,0.108096,0.000000,0.000144,1,0,0,0,0.264700,0.000000,1,0
