is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,3.450012,0.000000,5.699951,1.200001,-3.150085,0.000000,0.000013,0.000000,1,1,0,0,0.057986,0.000000,0,28
0,0.150024,0.000000,3.299988,0.000000,-2.399963,-1.200001,0.000024,0.000000,1,1,0,0,0.052704,0.000000,0,29
0,0.900024,-0.600002,0.750000,0.600002,-2.549988,0.600002,0.000025,0.000002,1,1,0,0,0.050686,0.000000,0,30
0,0.750000,-0.450001,0.150024,0.150002,-0.599976,-0.450001,0.000000,0.000001,1,1,0,0,0.049910,0.000000,0,31
0,1.200012,-0.750004,0.450012,0.300003,0.299988,0.150002,0.000012,0.000004,1,1,0,0,0.049590,0.000000,0,32
0,0.450012,-0.150002,0.750000,0.600002,0.299988,0.299999,0.000012,0.000002,1,1,0,0,0.049467,0.000000,0,33
0,0.450012,-0.150002,0.750000,0.600002,0.299988,0.299999,0.000012,0.000002,0,1,0,0,0.245329,0.000000,0,34
0,1.200012,-0.899998,0.750000,0.749996,0.000000,0.149994,0.000012,0.000002,0,1,0,0,0.135168,0.000000,0,35
0,0.899963,-0.599998,0.300049,0.299999,-0.449951,-0.449997,0.000036,0.000001,0,1,0,0,0.124332,0.000000,0,36
0,-0.450012,-1.350000,0.449951,0.750002,0.149902,0.450003,0.000012,0.000001,0,1,0,0,0.114711,0.000000,0,37
0,-0.450012,-1.350000,0.449951,0.750002,0.149902,0.450003,0.000012,0.000001,0,1,0,0,0.106168,0.000000,0,38
0,-0.450012,-1.350000,0.449951,0.750002,0.149902,0.450003,0.000012,0.000001,0,1,0,0,0.098681,0.000000,0,39
0,34.949951,-1.950001,13.800049,1.350002,-1.649780,0.900005,0.000043,0.000001,1,0,0,0,0.077748,0.000000,1,0
0,25.800049,-4.350000,9.149902,2.400000,-4.650146,1.049997,0.000053,0.000001,0,0,0,0,0.120787,0.000000,0,1
0,3.150024,-1.199999,22.650024,3.150002,13.500122,0.750002,0.000025,0.000001,0,0,0,0,0.084885,0.000000,0,2
0,4.650024,7.200001,1.500000,6.000002,-21.150024,2.850000,0.000025,0.000002,0,0,0,0,0.041747,0.000000,0,3
0,4.650024,16.200001,0.000000,9.000000,-1.500000,2.999998,0.000025,0.000003,0,0,0,0,0.005496,0.000000,0,4
0,-20.400146,0.450001,15.750122,15.750000,15.750122,6.750000,0.000150,0.000001,0,0,0,0,0.007698,0.000000,0,5
0,-14.699951,-3.149998,5.700195,2.699997,-10.049927,-13.050003,0.000046,0.000002,0,0,0,0,0.014541,0.000000,0,6
0,-8.849976,-3.449997,5.849976,0.299999,0.149780,-2.399998,0.000023,0.000003,0,0,0,0,0.023461,0.000000,0,7
0,-1.050049,-0.600002,7.799927,2.849995,1.949951,2.549995,0.000049,0.000002,0,0,0,0,0.031885,0.000000,0,8
0,-1.050049,-3.000000,0.000000,2.399998,-7.799927,-0.449997,0.000049,0.000000,0,0,0,0,0.039851,0.000000,0,9
0,-1.500000,-5.700001,0.449951,2.700001,0.449951,0.300003,0.000000,0.000002,0,0,0,0,0.036265,0.000000,0,10
0,1.500000,-6.450003,0.000000,0.750002,-0.449951,-1.949999,0.000000,0.000004,1,0,0,0,0.033001,0.000000,1,0
0,-0.899902,-7.650002,0.600098,1.199999,0.600098,0.449997,0.000098,0.000003,0,0,0,0,0.030031,0.000000,0,1
0,-3.299927,1.650002,2.400024,6.000000,1.799927,4.800001,0.000073,0.000002,0,1,0,0,0.016397,0.000000,0,2
0,-7.199951,11.700003,3.900024,10.050001,1.500000,4.050001,0.000048,0.000005,0,1,0,0,0.037549,0.000000,0,3
0,-2.550049,5.250000,4.649902,6.450003,0.749878,-3.599998,0.000049,0.000001,0,1,0,0,0.058861,0.000000,0,4
0,0.300049,-0.599998,2.250000,4.650002,-2.399902,-1.800001,0.000049,0.000001,0,1,0,0,0.078753,0.000000,0,5
0,0.450073,-1.199997,0.150024,0.599998,-2.099976,-4.050003,0.000073,0.000003,0,0,0,0,0.097017,0.000000,0,6
0,1.049927,-0.750000,0.599854,0.449997,0.449829,-0.150002,0.000073,0.000000,0,0,0,0,0.231485,0.000000,0,7
0,1.500000,-0.599998,0.450073,0.150002,-0.149780,-0.299995,0.011963,0.000001,0,0,0,0,0.144349,0.000000,0,8
0,4.349976,-1.349998,2.849976,0.750000,2.399902,0.599998,0.034668,0.000001,0,0,0,0,0.131357,0.000000,1,0
0,1.500000,-2.399998,2.849976,1.049999,0.000000,0.299999,0.011963,0.000002,0,0,0,0,0.119535,0.000000,0,1
0,0.450073,-0.750000,1.049927,1.649998,-1.800049,0.599998,0.003662,0.000000,1,0,0,0,0.022651,0.000000,0,2
0,-0.449951,1.349998,0.000122,0.599998,-1.049805,-1.049999,0.003540,0.000001,0,0,0,0,0.000000,0.000000,0,3
0,-2.099976,3.600002,1.650024,2.250004,1.649902,1.650005,0.016724,0.000003,0,0,0,0,0.000000,0.000000,0,4
0,-0.750000,1.050003,1.349976,2.549999,-0.300049,0.299995,0.005981,0.000003,0,0,0,0,0.000000,0.000000,0,5
0,-0.750000,1.050003,1.349976,2.549999,-0.300049,0.299995,0.005981,0.000003,0,0,0,0,0.000000,0.000000,0,6
0,-0.750000,1.050003,1.349976,2.549999,-0.300049,0.299995,0.005981,0.000003,0,0,0,0,0.000000,0.000000,0,7
0,0.600098,-0.599998,0.149902,0.450005,-1.200073,-2.099995,0.004883,0.000001,0,0,0,0,0.000000,0.000000,0,8
0,0.150024,-0.750000,0.450073,0.150002,0.300171,-0.300003,0.001221,0.000000,0,0,0,0,0.000000,0.000000,0,9
0,0.150024,-0.750000,0.450073,0.150002,0.300171,-0.300003,0.001221,0.000000,0,0,0,0,0.000000,0.000000,0,10
0,0.150024,-0.750000,0.450073,0.150002,0.300171,-0.300003,0.001221,0.000000,0,0,0,0,0.000000,0.000000,0,11
0,0.150024,-0.750000,0.450073,0.150002,0.300171,-0.300003,0.001221,0.000000,0,0,0,0,0.000000,0.000000,0,12
0,0.150024,-0.750000,0.450073,0.150002,0.300171,-0.300003,0.001221,0.000000,1,1,0,0,0.000000,0.000000,0,13
0,0.150024,-0.750000,0.450073,0.150002,0.300171,-0.300003,0.001221,0.000000,1,1,0,0,0.112112,0.000000,0,14
0,-0.150024,-1.950001,0.000000,1.200001,-0.450073,1.049999,0.001221,0.000001,1,1,0,0,0.173325,0.000000,0,15
0,-0.750000,-4.500000,0.599976,2.549999,0.599976,1.349998,0.005981,0.000001,0,0,0,0,0.091046,0.000000,0,16
0,-0.150024,-1.200001,0.599976,3.299999,0.000000,0.750000,0.001221,0.000001,0,0,0,0,0.049711,0.000000,0,17
0,0.000000,1.649998,0.150024,0.449997,-0.449951,-2.850002,0.000000,0.000002,0,0,0,0,0.045237,0.000000,0,18
0,0.750000,2.700001,0.750000,1.050003,0.599976,0.600006,0.005981,0.000001,0,0,0,0,0.041166,0.000000,0,19
0,4.200073,6.000000,3.450073,3.299999,2.700073,2.249996,0.033569,0.000001,0,0,0,0,0.037461,0.000000,0,20
0,7.649902,4.950001,3.449829,1.049999,-0.000244,-2.250000,0.060913,0.000002,0,0,0,0,0.034089,0.000000,0,21
0,7.649902,0.750000,0.000000,4.200001,-3.449829,3.150002,0.060913,0.000000,0,0,0,0,0.031021,0.000000,0,22
0,15.750000,2.099998,8.100098,1.349998,8.100098,-2.850002,0.023193,0.000001,0,0,0,0,0.028229,0.000000,1,0
0,32.400024,7.049999,16.650024,4.950001,8.549927,3.600002,0.039185,0.000000,0,0,0,0,0.025689,0.000000,0,1
0,45.599976,-0.600002,13.199951,6.449997,-3.450073,1.499996,0.066040,0.000002,0,0,0,0,0.023377,0.000000,0,2
0,-2.250000,-1.200001,43.349976,0.599998,30.150024,-5.849998,0.017944,0.000001,1,0,0,0,0.283324,0.000000,0,3
0,-8.400024,1.049999,6.150024,0.150002,-37.199951,-0.449997,0.067017,0.000001,0,0,0,0,0.115470,0.000000,0,4
0,-6.150024,0.150002,2.250000,0.899998,-3.900024,0.749996,0.049072,0.000002,0,0,0,0,0.050618,0.000000,0,5
0,-8.250000,0.000000,2.099976,0.150002,-0.150024,-0.749996,0.065796,0.000000,0,0,0,0,0.046062,0.000000,0,6
0,-6.300049,-1.049999,1.949951,1.049999,-0.150024,0.899998,0.050293,0.000001,0,0,0,0,0.041916,0.000000,0,7
0,-3.299927,-1.349998,3.000122,0.299999,1.050171,-0.750000,0.026245,0.000001,0,0,0,0,0.038144,0.000000,0,8
0,-1.949951,-2.250000,1.349976,0.900002,-1.650146,0.600002,0.015503,0.000000,0,0,0,0,0.034711,0.000000,0,9
0,-8.400024,-10.200001,6.450073,7.950001,5.100098,7.049999,0.067017,0.000002,0,0,0,0,0.031587,0.000000,0,10
0,-4.350098,-7.200001,4.049927,3.000000,-2.400146,-4.950001,0.034790,0.000002,0,0,0,0,0.028744,0.000000,0,11
0,-0.899902,-4.500002,3.450195,2.699999,-0.599731,-0.300001,0.007080,0.000003,0,0,0,0,0.026157,0.000000,1,0
0,-1.349976,-7.350000,0.450073,2.849998,-3.000122,0.150000,0.010742,0.000002,0,0,0,0,0.023803,0.000000,0,1
0,-3.449951,2.400000,2.099976,4.950001,1.649902,2.100002,0.027466,0.000000,1,1,0,0,0.021661,0.000000,0,2
