is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,-2.838394,-4.160380,1.633049,3.188331,0.583229,2.060750,0.000005,0.000005,0,0,0,0,0.082945,0.000000,0,1
0,0.505470,-3.810442,2.332924,0.349938,0.699875,-2.838392,0.000004,0.000004,1,0,0,0,0.094647,0.000000,0,2
0,0.427711,1.283108,0.077759,2.527334,-2.255165,2.177396,0.000009,0.000001,1,1,0,0,0.180131,0.000000,0,3
0,-1.088684,4.743611,0.660973,3.460504,0.583214,0.933169,0.000013,0.000005,0,1,0,0,0.421469,0.000000,0,4
0,3.460510,5.910072,2.371826,1.166461,1.710854,-2.294043,0.000008,0.000006,0,1,0,0,0.255533,0.000000,0,5
0,1.010925,2.721743,2.449585,3.188330,0.077759,2.021869,0.000008,0.000001,0,1,0,0,0.257927,0.000000,0,6
0,0.583221,1.944103,0.427704,0.777639,-2.021881,-2.410690,0.000009,0.000002,0,1,0,0,0.260102,0.000000,0,7
0,2.799500,5.560133,2.216278,3.616030,1.788574,2.838390,0.000008,0.000005,0,0,0,0,0.261981,0.000000,0,8
0,1.710808,5.404610,1.088692,0.155523,-1.127586,-3.460506,0.000002,0.000009,0,0,0,0,0.238403,0.000000,0,9
0,0.155533,5.404610,1.555275,0.000000,0.466583,-0.155523,0.000005,0.000009,0,0,0,0,0.216947,0.000000,0,10
0,2.138512,10.303749,1.982979,4.899139,0.427704,4.899139,0.000001,0.000015,0,0,0,0,0.197421,0.000000,1,0
0,3.110565,9.759399,0.972054,0.544350,-1.010925,-4.354790,0.000001,0.000013,0,0,0,0,0.160687,0.000000,0,1
0,-1.127586,8.515175,1.982979,1.244225,1.010925,0.699875,0.000007,0.000013,0,0,0,0,0.127329,0.000000,0,2
0,-3.771568,-3.110565,2.643982,5.404610,0.661003,4.160385,0.000010,0.000004,0,0,0,0,0.096850,0.000000,0,3
0,4.821373,-7.931942,1.049805,4.821377,-1.594177,-0.583233,0.000001,0.000010,1,0,0,0,0.070057,0.000000,0,4
0,6.454414,-7.659763,1.633041,0.272179,0.583237,-4.549198,0.000005,0.000006,0,0,0,0,0.125055,0.000000,0,5
0,1.633049,-1.749695,4.821365,5.910069,3.188324,5.637890,0.000003,0.000004,0,0,0,0,0.087358,0.000000,0,6
0,1.633049,-1.749695,4.821365,5.910069,3.188324,5.637890,0.000003,0.000004,0,0,0,0,0.098769,0.000000,0,7
0,1.633049,-1.749695,4.821365,5.910069,3.188324,5.637890,0.000003,0.000004,0,0,0,0,0.109264,0.000000,0,8
0,2.643974,0.388817,1.010925,1.360878,-3.810440,-4.549191,0.000005,0.000003,0,0,0,0,0.118967,0.000000,0,9
0,4.976868,0.349937,2.332893,0.038879,1.321968,-1.321999,0.000034,0.000001,0,0,0,0,0.108260,0.000000,0,10
0,1.555283,-2.021866,3.421585,1.671928,1.088692,1.633049,0.000001,0.000001,0,0,0,0,0.098516,0.000000,1,0
0,-1.244217,-8.942879,0.311066,6.921013,-3.110519,5.249084,0.000009,0.000015,0,0,0,0,0.089650,0.000000,0,1
0,0.038895,-9.176163,1.205322,0.233284,0.894257,-6.687729,0.000013,0.000007,0,0,0,0,0.061986,0.000000,0,2
0,-0.155533,-4.938023,0.116638,4.238140,-1.088684,4.004856,0.000005,0.000006,0,0,0,0,0.036815,0.000000,0,3
0,-5.754539,-5.093552,5.599007,0.155529,5.482368,-4.082611,0.000003,0.000007,0,0,0,0,0.014004,0.000000,0,4
0,-1.516396,-1.477518,4.238144,3.616034,-1.360863,3.460505,0.000004,0.000001,1,0,0,0,0.007452,0.000000,0,5
