is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,3.291748,-1.920107,6.766113,0.914335,5.394531,0.182865,0.000244,0.000002,0,1,0,0,0.272804,0.000000,0,6
0,-1.097656,-2.011543,2.194092,0.091436,-4.572021,-0.822899,0.000488,0.000004,0,1,0,0,0.273609,0.000000,0,7
0,-3.474609,-1.554375,2.376953,0.457169,0.182861,0.365732,0.000244,0.000004,0,1,0,0,0.274451,0.000000,0,8
0,-7.223389,-1.097202,3.748779,0.457172,1.371826,0.000004,0.000366,0.000001,0,1,0,0,0.275124,0.000000,0,9
0,-12.160645,-0.640035,4.937256,0.457168,1.188477,-0.000005,0.000366,0.000000,0,1,0,0,0.274811,0.000000,0,10
0,-14.812012,0.182867,2.651367,0.457168,-2.285889,0.000000,0.000244,0.000000,0,1,0,0,0.272359,0.000000,0,11
0,-7.406250,1.645804,7.405762,1.462937,4.754395,1.005770,0.000366,0.000000,0,1,0,0,0.269093,0.000000,1,0
0,-0.182861,0.640039,7.223389,1.005765,-0.182373,-0.457172,0.000000,0.000004,0,1,0,0,0.169040,0.000000,0,1
0,1.463135,0.274303,1.280273,0.365736,-5.943115,-0.640029,0.000244,0.000003,0,1,0,0,0.177064,0.000000,0,2
0,10.606445,0.640039,9.143311,0.365736,7.863037,0.000000,0.000488,0.000004,1,1,0,0,0.186138,0.000000,0,3
0,13.806641,0.457172,3.200195,0.182867,-5.943115,-0.182869,0.000610,0.000004,0,1,0,0,0.496571,0.000000,0,4
0,14.629395,0.091434,0.822754,0.365738,-2.377441,0.182871,0.000488,0.000001,0,1,0,0,0.295722,0.000000,0,5
0,7.589111,0.091434,7.040283,0.000000,6.217529,-0.365738,0.000366,0.000001,0,1,0,0,0.292874,0.000000,0,6
0,2.011719,0.000000,5.577393,0.091434,-1.462891,0.091434,0.000244,0.000000,0,1,0,0,0.290263,0.000000,0,7
0,-1.646240,-0.091434,0.365479,0.091434,-5.211914,0.000000,0.000488,0.000001,0,1,0,0,0.288394,0.000000,0,8
0,-5.028809,-0.182869,3.382568,0.091434,3.017090,0.000000,0.000122,0.000002,0,1,0,0,0.284602,0.000000,0,9
0,-11.520508,0.000000,6.491699,0.182869,3.109131,0.091434,0.000244,0.000000,0,1,0,0,0.278952,0.000000,0,10
0,-19.018066,0.182869,7.497559,0.182869,1.005859,0.000000,0.000488,0.000002,0,1,0,0,0.268851,0.000000,0,11
0,-19.383789,0.914341,0.365723,0.731472,-7.131836,0.548603,0.000488,0.000005,0,1,0,0,0.253963,0.000000,1,0
0,-7.040527,0.731470,12.343262,0.182871,11.977539,-0.548601,0.000366,0.000001,0,1,0,0,0.161551,0.000000,0,1
0,-0.091553,0.000000,6.948975,0.731470,-5.394287,0.548599,0.000122,0.000000,0,1,0,0,0.170587,0.000000,0,2
0,9.600586,0.091434,9.509033,0.091434,2.560059,-0.640036,0.000366,0.000001,1,1,0,0,0.180311,0.000000,0,3
0,20.298340,-0.640038,10.697754,0.548603,1.188721,0.457169,0.000732,0.000002,0,1,0,0,0.469421,0.000000,0,4
0,18.469482,-1.188637,1.828857,0.548599,-8.868896,-0.000004,0.000488,0.000000,0,1,0,0,0.281841,0.000000,0,5
0,6.857666,-0.274303,11.611816,0.914333,9.782959,0.365734,0.000366,0.000003,0,1,0,0,0.282432,0.000000,0,6
0,-2.011963,-0.182869,4.845703,0.091434,-6.766113,-0.822899,0.000488,0.000002,0,1,0,0,0.282917,0.000000,0,7
0,-4.572266,-0.548607,2.560303,0.365738,-2.285400,0.274303,0.000732,0.000005,0,0,0,0,0.283147,0.000000,0,8
0,-4.845947,-0.274303,0.273682,0.274303,-2.286621,-0.091434,0.000122,0.000003,0,0,0,0,0.268493,0.000000,0,9
0,-9.234619,0.640038,4.388672,0.365734,4.114990,0.091431,0.000122,0.000002,0,0,0,0,0.253553,0.000000,0,10
0,-20.572266,1.645807,11.337646,1.005770,6.948975,0.640036,0.000366,0.000003,0,0,0,0,0.234757,0.000000,0,11
0,-23.132813,2.651575,2.560547,1.005768,-8.777100,-0.000002,0.000854,0.000001,0,1,0,0,0.211425,0.000000,1,0
0,-17.006348,4.205944,6.126465,1.554369,3.565918,0.548601,0.000244,0.000001,0,1,0,0,0.216401,0.000000,0,1
0,-3.017822,1.188637,13.988525,3.017307,7.862061,1.462938,0.000610,0.000000,0,1,0,0,0.221003,0.000000,0,2
0,1.097412,-0.091434,1.920410,1.097202,-12.068115,-1.920105,0.000244,0.000001,1,1,0,0,0.225437,0.000000,0,3
0,12.069336,-2.285843,10.971924,2.194408,9.051514,1.097206,0.000488,0.000003,0,1,0,0,0.510899,0.000000,0,4
0,2.377686,0.000000,9.691650,2.285843,-1.280273,0.091434,0.000488,0.000000,0,1,0,0,0.301438,0.000000,0,5
0,2.377686,0.000000,9.691650,2.285843,-1.280273,0.091434,0.000488,0.000000,0,1,0,0,0.298869,0.000000,0,6
0,2.377686,0.000000,9.691650,2.285843,-1.280273,0.091434,0.000488,0.000000,0,1,0,0,0.296679,0.000000,0,7
0,2.377686,0.000000,9.691650,2.285843,-1.280273,0.091434,0.000488,0.000000,0,1,0,0,0.294808,0.000000,0,8
0,-6.126221,1.188639,3.748535,1.188639,-5.943115,-1.097204,0.000366,0.000002,0,1,0,0,0.292548,0.000000,0,9
