is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,2.550415,-5.399996,2.250366,0.600012,1.650269,-0.900000,0.000415,0.000005,0,1,0,0,0.111630,0.000000,0,14
0,1.950317,-1.199999,0.600098,4.199997,-1.650269,3.599985,0.000317,0.000001,1,1,0,0,0.123245,0.000000,0,15
0,1.950317,-1.199999,0.600098,4.199997,-1.650269,3.599985,0.000317,0.000001,0,1,0,0,0.378209,0.000000,0,16
0,1.950317,-1.199999,0.600098,4.199997,-1.650269,3.599985,0.000317,0.000001,0,1,0,0,0.231907,0.000000,0,17
0,1.950317,-1.199999,0.600098,4.199997,-1.650269,3.599985,0.000317,0.000001,0,1,0,0,0.236565,0.000000,0,18
0,11.849731,1.349997,9.899414,0.149998,9.299316,-4.049999,0.000270,0.000004,0,1,0,0,0.233535,0.000000,0,19
0,15.749756,4.350004,3.900024,3.000008,-5.999390,2.850010,0.000246,0.000004,0,0,0,0,0.227140,0.000000,0,20
0,8.850098,2.550026,6.899658,1.799978,2.999634,-1.200029,0.000096,0.000026,0,0,0,0,0.206697,0.000000,0,21
0,8.849731,1.650017,0.000366,0.900009,-6.899292,-0.899969,0.000270,0.000017,0,0,0,0,0.188094,0.000000,0,22
0,10.349854,0.450005,1.500122,1.200012,1.499756,0.300003,0.000148,0.000005,0,0,0,0,0.171166,0.000000,0,23
0,8.249756,-2.400024,2.100098,1.950020,0.599976,0.750008,0.000245,0.000024,0,0,0,0,0.155761,0.000000,0,24
0,3.750488,-3.000031,4.499268,0.600006,2.399170,-1.350014,0.000488,0.000030,0,1,0,0,0.161328,0.000000,0,25
0,3.900391,-1.949999,0.149902,1.050032,-4.349365,0.450026,0.000390,0.000001,0,1,0,0,0.164428,0.000000,0,26
0,10.799683,0.749998,6.899292,1.200001,6.749390,0.149969,0.000319,0.000002,1,1,0,0,0.166012,0.000000,0,27
0,11.399902,2.550011,0.600220,1.800013,-6.299072,0.600012,0.000099,0.000010,0,1,0,0,0.349977,0.000000,0,28
0,7.050293,1.950016,4.349609,0.599995,3.749390,-1.200018,0.000292,0.000016,0,1,0,0,0.216999,0.000000,0,29
0,5.250610,1.800018,1.799683,0.149998,-2.549927,-0.449997,0.000610,0.000018,0,1,0,0,0.223140,0.000000,0,30
0,8.549927,2.550018,3.299316,0.750000,1.499634,0.600002,0.000074,0.000018,0,1,0,0,0.228034,0.000000,0,31
0,13.050049,3.000019,4.500122,0.450001,1.200806,-0.299999,0.000047,0.000019,0,1,0,0,0.230744,0.000000,0,32
0,12.449951,1.350014,0.600098,1.650005,-3.900024,1.200005,0.000051,0.000014,0,0,0,0,0.220811,0.000000,0,33
0,7.799927,0.300003,4.650024,1.050011,4.049927,-0.599995,0.000074,0.000003,0,0,0,0,0.200938,0.000000,0,34
0,10.349487,-1.500015,2.549561,1.200012,-2.100464,0.150002,0.000514,0.000015,0,0,0,0,0.182853,0.000000,0,35
0,18.000122,-5.400005,7.650635,3.899990,5.101074,2.699978,0.000120,0.000005,0,0,0,0,0.166396,0.000000,0,36
0,9.750122,-5.250011,8.250000,0.149994,0.599365,-3.749996,0.000121,0.000011,0,0,0,0,0.151421,0.000000,0,37
0,-4.950806,-1.650002,4.799316,3.600010,-3.450684,3.450016,0.000805,0.000001,0,1,0,0,0.137793,0.000000,0,38
0,-4.050293,1.650005,0.900513,0.000004,-3.898804,-3.600006,0.000292,0.000005,0,1,0,0,0.100226,0.000000,0,39
0,-1.050171,-3.000011,6.299927,2.700008,5.099976,1.950001,0.000171,0.000011,0,0,0,0,0.063731,0.000000,1,0
0,-6.600098,-6.750004,5.549927,3.749992,-0.750000,1.049984,0.000097,0.000003,0,0,0,0,0.057995,0.000000,0,1
0,-2.250244,-2.699993,4.349854,4.050011,-1.200073,0.300018,0.000244,0.000007,0,0,0,0,0.052775,0.000000,0,2
0,-0.300049,-0.449999,1.950195,2.249994,-2.399658,-1.800016,0.000049,0.000001,0,0,0,0,0.048026,0.000000,0,3
0,-0.450073,0.299999,0.150024,0.150000,-1.800171,-2.099995,0.000073,0.000001,0,1,0,0,0.043703,0.000000,0,4
0,0.600098,1.049997,0.150024,0.749998,0.000000,0.599998,0.000098,0.000003,1,1,0,0,0.017066,0.000000,0,5
0,2.100342,2.700008,1.500244,1.650011,1.350220,0.900013,0.000342,0.000008,0,1,0,0,0.115211,0.000000,0,6
0,3.150513,3.150013,1.050171,0.450005,-0.450073,-1.200006,0.000512,0.000013,0,1,0,0,0.088302,0.000000,0,7
0,2.400391,2.400024,0.750122,0.749989,-0.300049,0.299984,0.000390,0.000024,0,1,0,0,0.105718,0.000000,0,8
0,0.450073,0.600006,1.950317,1.800018,1.200195,1.050030,0.000073,0.000006,0,1,0,0,0.121600,0.000000,0,9
0,0.450073,0.600006,1.950317,1.800018,1.200195,1.050030,0.000073,0.000006,0,1,0,0,0.136082,0.000000,0,10
0,-0.150024,0.000000,0.300049,0.600006,-1.650269,-1.200012,0.000024,0.000000,0,1,0,0,0.149281,0.000000,0,11
0,-0.150024,-0.150002,0.000000,0.150002,-0.300049,-0.450005,0.000024,0.000002,0,0,0,0,0.161305,0.000000,0,12
0,-0.150024,-1.650017,0.000000,1.500015,0.000000,1.350014,0.000024,0.000017,0,0,0,0,0.146788,0.000000,1,0
0,0.150024,-3.000031,0.000000,1.350014,0.000000,-0.150002,0.000024,0.000030,0,0,0,0,0.133577,0.000000,0,1
0,0.000000,-1.050011,0.150024,1.950020,0.150024,0.600006,0.000000,0.000011,0,0,0,0,0.121555,0.000000,0,2
0,0.000000,-1.050011,0.150024,1.950020,0.150024,0.600006,0.000000,0.000011,0,0,0,0,0.072443,0.000000,0,3
0,0.000000,-1.050011,0.150024,1.950020,0.150024,0.600006,0.000000,0.000011,1,0,0,0,0.248215,0.000000,0,4
0,0.000000,-1.050011,0.150024,1.950020,0.150024,0.600006,0.000000,0.000011,0,0,0,0,0.225876,0.000000,0,5
0,0.000000,0.600006,0.000000,0.450005,-0.150024,-1.500015,0.000000,0.000006,0,1,0,0,0.123328,0.000000,0,6
