is_cheating,delta_yaw,delta_pitch,accel_yaw,accel_pitch,jerk_yaw,jerk_pitch,gcd_error_yaw,gcd_error_pitch,is_on_ground,is_sprinting,is_sneaking,is_using_item,player_speed_horizontal,player_fall_distance,is_attacking,ticks_since_attack
0,3.417847,-1.266146,2.531738,1.012917,2.278564,1.012917,0.000747,0.000000,1,0,0,0,0.280437,0.000000,1,0
0,3.164673,-1.392760,0.253174,0.126615,-2.278564,-0.886302,0.000691,0.000000,1,0,0,0,0.178019,0.000000,0,1
0,0.000000,0.379844,3.164673,1.012917,2.911499,0.886302,0.000000,0.000000,1,0,0,0,0.033361,0.000000,0,2
0,0.759521,6.837187,0.759521,6.457343,-2.405151,5.444427,0.000166,0.000000,1,1,0,0,0.102870,0.000000,0,3
0,-10.255432,5.444447,9.495911,1.392740,8.736389,-5.064603,0.000348,0.000020,0,1,0,0,0.327140,0.000000,0,4
0,-9.115723,2.405695,1.139709,3.038752,-8.356201,1.646011,0.000526,0.000018,0,1,0,0,0.204341,0.000000,0,5
0,-10.381958,1.012924,1.266235,1.392771,0.126526,-1.645981,0.000437,0.000008,0,1,0,0,0.211928,0.000000,0,6
0,-4.810486,0.000000,5.571472,1.012924,4.305237,-0.379847,0.000868,0.000000,0,1,0,0,0.218681,0.000000,0,7
0,-4.936890,0.633078,0.126404,0.633078,-5.445068,-0.379847,0.001079,0.000005,0,0,0,0,0.224565,0.000000,0,8
0,-5.823120,1.519386,0.886230,0.886309,0.759827,0.253231,0.001150,0.000011,0,0,0,0,0.226915,0.000000,0,9
0,-7.216187,1.139540,1.393066,0.379847,0.506836,-0.506462,0.000844,0.000009,0,0,0,0,0.225122,0.000000,0,10
0,-11.395203,-1.139540,4.179016,0.000000,2.785950,-0.379847,0.000109,0.000009,0,0,0,0,0.185377,0.000000,1,0
0,-14.307129,-7.470295,2.911926,6.330755,-1.267090,6.330755,0.000318,0.000035,0,0,0,0,0.149295,0.000000,0,1
0,-26.335999,2.658913,12.028870,4.811382,9.116943,-1.519373,0.000168,0.000007,0,1,0,0,0.120353,0.000000,0,2
0,-14.053711,9.749344,12.282288,7.090431,0.253418,2.279049,0.000506,0.000022,0,1,0,0,0.089858,0.000000,0,3
0,2.911499,3.038767,11.142212,6.710577,-1.140076,-0.379854,0.000636,0.000017,1,1,0,0,0.237505,0.000000,0,4
0,1.012695,-0.253227,1.898804,2.785540,-9.243408,-3.925037,0.000221,0.000002,0,1,0,0,0.130964,0.000000,0,5
0,7.089722,-0.126616,6.077026,0.126612,4.178223,-2.658928,0.000694,0.000001,0,1,0,0,0.096722,0.000000,0,6
0,8.229065,0.253229,1.139343,0.126614,-4.937683,0.000002,0.000882,0.000000,0,1,0,0,0.112760,0.000000,0,7
0,5.190247,0.126614,3.038818,0.126616,1.899475,0.000002,0.000951,0.000001,0,1,0,0,0.127237,0.000000,0,8
0,0.379761,-0.253227,4.810486,0.126614,1.771667,-0.000002,0.000083,0.000002,0,0,0,0,0.140842,0.000000,0,9
0,-0.506348,-0.126616,0.126587,0.126612,-4.683899,-0.000002,0.000111,0.000001,0,0,0,0,0.150480,0.000000,0,10
